,heating_load,wall,roof,glazing,height
81,68.7,22.3,89.7,11.4,9.2
82,86.4,30.9,127.4,38.2,3.2
83,83.9,30.3,166.0,24.1,3.7
84,74.4,21.4,77.0,39.7,11.0
85,41.9,32.0,53.1,11.0,8.9
86,79.6,31.0,83.3,38.3,8.3
87,76.2,26.5,116.6,27.6,8.0
88,64.8,16.2,85.1,27.3,13.0
89,52.2,17.7,98.2,22.7,10.3
90,78.2,27.6,158.7,12.0,13.6
91,85.9,34.1,165.7,26.1,11.5
92,88.5,26.7,156.9,19.9,9.4
93,96.9,21.7,190.9,21.8,7.5
94,81.7,17.4,129.6,31.5,4.7
95,72.6,32.0,124.2,10.7,9.7
96,69.6,11.7,83.2,39.4,4.5
97,71.0,19.0,141.8,17.2,11.5
98,54.4,39.9,52.4,18.8,13.5
99,84.8,21.0,173.7,26.2,8.2
100,65.5,39.9,82.9,49.9,10.0
101,64.5,25.4,120.2,22.3,6.1
102,89.2,10.7,187.2,19.2,14.6
103,83.7,10.9,156.9,32.3,14.3
104,77.8,19.8,106.6,35.3,10.2
105,73.7,38.8,130.6,31.9,8.9
106,77.0,33.5,89.0,42.2,9.0
107,71.1,24.6,102.3,44.7,10.4
108,65.7,10.6,71.4,44.6,11.1
109,81.1,12.7,153.4,27.8,5.7
110,52.5,13.7,69.3,10.7,3.8
111,72.2,32.4,92.4,46.4,12.7
112,85.3,34.1,159.7,38.0,3.8
113,68.1,34.6,112.1,17.8,8.0
114,65.6,34.4,66.3,42.2,4.8
115,77.0,16.1,118.8,49.8,14.0
116,60.1,16.2,52.9,38.7,9.6
117,92.8,13.1,184.7,29.0,14.4
118,71.1,17.3,117.0,18.4,10.9
119,52.0,20.6,57.3,44.8,14.4
120,63.7,33.7,51.8,38.1,6.6
121,65.1,34.4,106.5,49.3,6.9
122,66.9,22.2,72.3,35.7,14.4
123,60.6,19.8,97.0,46.7,13.9
124,60.2,37.5,128.1,13.8,6.8
125,82.0,31.8,185.1,14.3,5.9
126,70.5,19.3,129.8,15.0,5.6
127,94.7,18.4,159.1,45.0,6.8
128,65.7,10.6,141.7,25.0,5.6
129,51.6,18.0,50.7,22.4,14.4
130,85.5,33.1,132.5,40.3,4.3
131,88.2,36.7,179.9,18.2,6.4
132,58.5,37.6,56.9,46.4,7.4
133,85.5,30.1,181.0,32.3,13.9
134,80.8,10.0,159.5,34.5,3.3
135,84.6,28.4,187.7,22.9,13.0
136,84.1,21.0,166.8,15.0,7.5
137,73.8,33.9,75.3,43.7,7.7
138,93.5,15.7,159.6,43.1,8.8
139,78.3,26.0,162.0,17.0,7.7
140,54.0,25.5,89.0,15.5,10.6
141,68.2,11.7,92.7,32.2,6.7
142,58.2,35.7,80.8,45.5,7.6
143,52.5,32.0,53.1,17.8,4.3
144,93.1,27.7,198.7,27.1,5.7
145,70.1,35.9,102.6,35.3,8.1
146,61.2,37.8,59.0,23.6,11.8
147,76.1,16.1,119.6,32.7,3.6
148,84.1,21.8,114.3,48.2,11.4
149,50.3,24.5,57.0,28.1,13.1
150,70.5,32.2,92.6,26.5,9.4
151,76.2,10.8,146.1,23.4,7.4
152,71.3,38.6,122.1,30.8,4.2
153,84.8,29.2,142.1,18.9,8.2
154,57.5,38.9,66.1,21.0,4.1
155,70.5,13.2,112.3,36.4,13.1
156,78.7,20.0,166.9,29.7,5.1
157,80.6,19.2,135.7,40.6,12.4
158,81.0,22.2,130.2,17.1,11.0
159,68.3,30.1,124.3,23.3,14.2
160,54.4,34.1,69.0,35.5,12.9
161,71.9,12.0,129.7,39.3,10.1
162,67.9,37.3,79.4,15.1,12.3
163,63.6,32.1,50.8,47.3,4.1
164,89.9,13.2,189.1,31.5,7.1
165,77.3,11.8,81.6,39.3,10.5
166,66.9,15.8,89.8,14.9,8.6
167,91.9,11.9,189.9,27.2,12.9
168,69.7,31.0,69.9,11.2,8.2
169,100.0,38.5,176.4,44.9,7.3
170,65.9,31.5,62.8,24.2,10.2
171,83.4,33.7,155.9,47.0,11.1
172,73.7,21.8,127.5,14.5,3.7
173,83.2,17.6,106.2,34.7,5.9
174,66.6,11.3,78.1,15.3,10.8
175,72.4,17.6,103.2,35.2,4.7
176,75.9,21.3,144.6,16.0,4.2
177,90.9,26.0,150.0,33.5,4.3
178,55.6,33.1,76.8,46.1,8.2
179,95.4,32.5,193.8,15.1,7.9
180,86.6,26.9,171.2,42.9,13.8
181,53.2,12.3,89.5,42.1,8.1
182,68.3,20.4,138.0,31.7,9.4
183,61.4,13.3,64.2,29.7,3.8
184,76.0,15.8,135.5,50.0,13.1
185,67.0,10.5,131.4,27.9,12.3
186,69.2,32.9,125.5,22.5,11.0
187,56.0,27.0,70.8,47.4,8.4
188,76.5,22.1,116.4,45.0,11.7
189,75.7,22.3,123.7,19.3,11.2
190,61.1,13.4,59.5,11.1,9.0
191,78.4,15.4,184.5,10.0,8.4
192,67.0,20.3,60.5,23.5,7.0
193,74.5,38.5,131.5,45.5,12.4
194,75.6,32.5,121.0,11.0,9.6
195,75.0,33.0,102.9,27.5,13.2
196,77.6,36.9,145.1,43.9,8.9
197,81.7,19.4,138.0,43.0,9.0
198,59.7,30.3,62.7,37.3,14.2
199,86.2,20.1,171.3,37.0,5.5
200,84.7,15.6,137.4,34.5,14.4
201,100.3,32.3,189.6,38.0,3.2
202,88.0,15.0,178.8,30.5,12.7
203,72.3,35.9,127.3,28.8,10.5
204,89.6,17.0,140.6,11.5,9.1
205,76.8,23.1,108.6,46.5,13.6
206,91.0,22.9,185.3,10.6,11.7
207,81.3,36.5,141.3,35.9,13.7
208,81.3,39.1,143.2,40.9,13.1
209,70.6,35.3,95.3,34.2,14.2
210,94.1,33.2,196.1,22.1,14.1
211,90.8,29.2,197.3,33.9,14.8
212,86.3,26.4,178.0,38.8,5.9
213,86.0,19.1,179.1,21.5,6.9
214,64.8,18.1,69.9,26.7,7.6
215,73.1,39.9,77.2,32.7,10.3
216,70.9,20.8,122.2,43.1,3.6
217,64.0,34.4,85.4,15.1,5.0
218,96.7,31.1,189.2,43.3,7.8
219,80.7,30.2,147.3,17.1,4.2
220,73.4,16.0,126.2,44.2,13.3
221,87.0,25.0,189.7,48.2,12.8
222,72.4,17.4,124.6,37.1,10.9
223,67.5,26.0,83.7,33.0,8.1
224,72.8,32.0,103.8,34.7,12.9
225,98.0,37.3,187.8,36.6,10.3
226,53.9,28.8,51.6,35.3,14.3
227,84.6,35.9,173.5,15.0,14.8
228,71.7,37.9,161.9,41.9,3.2
229,76.6,15.7,149.8,25.4,12.0
230,85.6,36.7,147.8,35.3,3.3
231,63.2,14.4,88.3,24.0,7.0
232,82.8,38.0,154.9,27.3,10.8
233,67.2,24.3,90.5,47.7,4.7
234,55.6,25.1,52.7,20.5,4.6
235,71.2,38.5,92.2,32.2,5.0
236,88.8,31.0,184.3,28.6,11.9
237,95.2,38.1,151.7,41.2,4.3
238,87.2,31.7,177.3,22.8,3.9
239,89.6,29.0,143.9,48.7,8.9
240,68.1,12.1,84.3,10.6,8.4
241,58.7,18.5,95.2,17.0,5.4
242,61.8,15.8,75.4,26.9,6.3
243,81.5,24.7,170.9,27.7,9.5
244,83.9,25.5,186.6,20.2,9.0
245,66.9,38.5,140.3,15.4,7.8
246,70.8,37.0,94.7,18.1,4.2
247,82.8,14.3,116.5,39.9,5.2
248,62.9,15.9,150.1,33.2,6.5
249,68.7,13.5,114.6,32.9,7.5
250,81.9,19.1,196.5,10.6,8.0
251,81.3,24.5,171.1,22.4,10.6
252,54.5,10.2,111.2,11.1,7.2
253,62.4,35.2,53.0,14.8,5.7
254,91.9,10.6,188.4,31.8,4.6
255,53.7,23.9,58.4,17.8,7.4
256,53.1,30.0,61.8,13.1,6.6
257,56.0,14.1,81.6,15.9,13.3
258,98.1,13.1,185.6,38.5,8.3
259,85.2,34.5,175.5,36.7,6.9
260,89.5,19.2,146.9,38.2,10.9
261,84.1,34.9,119.1,42.1,10.1
262,54.7,15.8,78.6,36.5,10.4
263,80.0,36.6,142.4,50.0,9.0
264,61.3,12.1,118.5,17.3,12.3
265,75.6,31.6,136.5,17.6,5.3
266,80.0,38.0,177.3,23.2,5.0
267,66.9,27.4,105.6,15.4,9.3
268,66.9,37.6,116.4,21.2,4.0
269,86.3,18.6,172.3,42.8,6.2
270,72.8,15.5,131.8,35.8,8.4
271,72.0,12.9,129.2,36.3,8.0
272,57.0,30.7,81.1,20.8,9.0
273,63.0,31.1,77.6,28.1,14.2
274,64.5,10.7,84.0,36.3,10.2
275,71.0,37.0,111.2,10.7,7.4
276,75.4,29.0,157.7,20.5,12.9
277,51.5,15.2,65.0,20.2,4.3
278,86.5,34.3,153.3,42.8,11.2
279,67.1,25.2,119.8,30.1,3.9
280,62.5,30.4,64.6,45.7,4.9
281,46.4,11.6,50.1,20.6,10.0
282,77.6,21.7,132.2,47.8,10.3
283,70.7,30.0,141.9,43.3,12.5
284,55.6,25.6,52.4,19.8,4.1
285,71.8,16.3,161.8,10.9,12.2
286,81.7,34.7,190.5,34.9,4.3
287,73.3,39.7,77.4,30.0,8.3
288,89.1,28.2,179.5,28.3,10.9
289,92.2,11.7,175.2,26.3,5.5
290,73.2,20.4,94.6,28.6,5.7
291,61.3,29.7,55.7,28.2,6.9
292,68.8,27.4,87.7,10.5,3.7
293,57.1,37.0,68.2,13.2,11.6
294,79.2,17.8,136.2,32.3,7.6
295,63.2,37.7,60.6,48.2,9.5
296,57.6,17.4,72.0,35.7,14.9
297,85.0,21.5,199.5,39.7,14.6
298,72.8,36.0,114.4,34.1,13.9
299,52.3,28.4,86.8,11.0,12.8
300,74.3,30.2,68.0,48.4,14.3
301,88.7,14.7,160.7,46.7,13.0
302,81.6,26.0,151.1,48.2,10.9
303,95.5,28.9,165.0,43.8,11.9
304,80.0,39.9,142.2,46.1,8.4
305,86.9,30.3,159.6,32.8,13.5
306,94.6,29.5,181.6,36.9,10.4
307,70.4,36.6,68.6,39.1,10.5
308,76.9,24.1,128.7,44.9,8.6
309,97.6,38.8,154.9,24.8,12.3
310,90.7,18.0,154.6,39.6,5.4
311,50.6,37.4,51.4,20.7,6.1
312,70.5,24.3,142.3,21.7,7.1
313,76.0,26.6,116.3,14.0,14.9
314,60.4,28.0,89.8,15.8,11.5
315,73.1,26.1,155.8,12.1,14.3
316,69.9,21.3,136.4,25.9,8.9
317,74.4,15.3,148.2,12.2,6.2
318,99.5,19.7,174.6,38.6,3.5
319,71.9,24.0,93.3,25.3,10.1
320,75.4,22.5,100.6,31.5,13.2
321,81.5,11.9,169.1,11.5,3.6
322,88.3,24.1,170.7,30.2,3.9
323,75.4,26.0,72.4,46.9,9.3
324,65.3,17.7,98.6,42.2,14.5
325,78.5,25.3,173.8,28.7,10.0
326,86.8,26.7,185.3,16.1,3.9
327,66.5,11.5,133.4,42.9,6.5
328,68.4,28.5,76.8,44.4,11.1
329,74.3,11.3,117.7,36.1,3.6
330,64.0,25.0,60.7,43.5,7.1
331,79.3,10.6,123.8,38.5,6.4
332,80.6,21.4,162.9,25.8,13.8
333,76.3,29.9,92.9,34.5,6.1
334,94.4,29.8,164.2,34.2,8.6
335,87.0,37.7,184.1,24.3,3.3
336,70.6,29.7,112.5,20.1,7.8
337,83.7,36.5,164.7,28.8,12.1
338,84.1,18.4,147.3,20.4,6.4
339,51.5,28.4,66.8,12.0,10.0
340,71.3,11.2,108.6,45.7,13.7
341,98.7,26.1,192.5,40.3,8.6
342,76.3,37.1,138.8,20.5,12.8
343,91.2,20.4,144.9,44.2,6.8
344,72.5,33.4,139.3,26.4,14.5
345,73.7,18.2,101.3,49.6,4.6
346,93.6,22.2,173.6,45.7,14.5
347,69.3,20.2,114.0,45.1,14.7
348,61.4,26.1,125.9,18.3,9.1
349,65.3,13.1,102.1,17.5,5.9
350,84.8,14.4,162.6,29.4,9.2
351,52.7,34.3,66.4,20.8,5.5
352,63.2,16.6,112.1,10.3,14.8
353,56.9,31.0,53.4,39.9,4.6
354,86.6,33.7,153.3,17.7,10.5
355,81.5,37.3,174.0,14.8,15.0
356,58.9,25.9,86.8,12.9,11.7
357,57.4,32.5,54.9,22.3,11.0
358,67.1,21.5,100.6,35.6,5.6
359,80.5,38.9,165.1,34.0,14.8
360,89.4,11.7,189.1,32.0,4.1
361,71.7,12.0,123.0,38.5,14.1
362,90.8,36.7,152.2,25.5,5.6
363,74.2,11.1,88.4,33.5,14.7
364,87.5,19.0,182.6,48.8,12.2
365,69.4,35.6,113.2,23.0,6.6
366,59.6,25.4,85.2,15.1,6.3
367,97.3,23.3,185.1,17.5,5.7
368,77.6,20.6,131.3,31.7,6.8
369,68.0,37.7,76.7,48.4,7.6
370,94.7,22.6,181.4,43.6,5.1
371,57.0,30.0,86.7,35.6,7.9
372,57.0,12.2,90.1,45.9,9.6
373,71.9,16.9,101.2,16.7,5.1
374,88.2,17.0,172.7,30.2,8.5
375,72.3,18.6,75.4,42.7,9.0
376,70.0,33.9,119.0,21.9,11.8
377,64.1,19.3,101.4,27.9,5.8
378,59.9,27.2,96.1,12.9,3.4
379,68.8,27.2,104.4,38.7,9.5
380,81.6,36.6,164.6,17.5,5.4
381,92.7,22.7,190.0,17.6,4.0
382,63.0,31.7,90.6,35.0,11.5
383,85.7,21.5,159.1,18.5,7.4
384,95.5,19.2,157.8,47.9,4.1
385,84.9,10.5,165.0,40.1,3.8
386,73.6,30.5,174.4,14.7,5.4
387,91.2,28.3,146.5,45.7,5.5
388,77.2,32.5,181.8,11.5,9.5
389,80.2,35.2,156.7,15.7,13.7
390,56.8,17.6,94.0,19.1,6.0
391,92.5,14.9,185.5,41.9,14.0
392,67.6,31.5,90.6,39.9,8.5
393,84.7,12.6,172.4,28.7,12.0
394,91.7,24.5,156.5,23.9,10.6
395,79.4,30.8,145.0,39.2,9.1
396,80.1,12.8,101.8,45.9,3.6
397,60.4,14.8,65.3,25.1,7.1
398,55.1,15.4,51.3,11.5,11.5
399,72.0,22.7,104.8,30.5,12.5
400,77.3,18.4,146.9,45.2,10.2
401,82.1,25.1,135.8,48.2,7.4
402,94.4,38.5,181.7,18.1,5.3
403,88.7,23.7,189.8,30.3,6.1
404,60.7,12.6,104.5,16.2,7.2
405,82.0,33.6,197.6,13.4,10.0
406,62.3,33.8,70.0,27.9,7.5
407,100.2,27.0,191.4,41.4,5.2
408,98.1,21.3,182.6,45.8,7.7
409,70.1,25.3,88.4,46.8,9.0
410,67.7,22.5,134.7,15.8,4.2
411,89.4,13.1,161.3,40.6,8.7
412,63.3,37.5,59.8,30.4,10.7
413,81.6,15.1,151.3,36.4,8.2
414,65.8,18.7,81.2,16.1,4.7
415,82.9,11.7,145.2,38.3,3.2
416,78.1,29.4,146.1,44.8,11.6
417,63.2,39.8,103.7,36.5,9.9
418,88.2,14.9,177.7,19.1,8.4
419,72.4,38.1,108.0,29.4,3.0
420,53.0,37.6,78.5,22.9,13.6
421,74.9,30.2,111.6,28.6,9.6
422,91.1,21.7,181.8,26.9,9.7
423,51.7,10.8,62.0,22.9,12.8
424,73.6,23.0,144.2,22.6,8.6
425,70.2,32.3,110.0,25.0,6.5
426,89.8,22.2,182.4,29.6,11.8
427,76.3,31.1,116.9,22.3,4.3
428,58.8,32.4,98.6,13.0,9.1
429,74.7,31.6,129.8,27.5,3.5
430,76.9,27.6,112.6,43.5,4.8
431,51.7,23.3,55.2,35.6,12.1
432,70.1,36.3,110.9,21.5,12.2
433,77.3,31.3,120.3,49.9,7.2
434,82.2,13.8,157.3,34.2,14.5
435,54.3,21.8,86.7,10.9,6.8
436,79.5,29.9,123.6,40.9,9.4
437,77.0,12.1,134.4,39.2,7.3
438,62.7,24.7,150.3,27.8,9.1
439,79.4,32.0,134.3,13.1,6.3
440,74.0,18.4,139.2,20.8,8.3
441,77.1,15.8,150.0,41.9,13.1
442,76.6,13.2,148.0,18.8,5.0
443,90.3,18.4,181.6,41.6,11.8
444,78.1,35.1,169.7,28.7,6.2
445,61.3,10.9,116.1,27.0,14.0
446,74.6,19.1,117.2,17.8,3.9
447,81.3,37.2,194.4,23.0,4.0
448,53.4,31.1,57.5,37.2,12.3
449,79.2,18.7,179.5,10.7,13.6
450,72.5,35.2,122.0,12.6,6.3
451,71.3,21.6,101.2,24.5,7.7
452,82.9,17.1,172.5,11.7,11.9
453,72.5,36.7,75.3,21.0,7.1
454,55.6,11.0,99.3,10.5,12.1
455,79.8,12.0,149.2,18.6,10.5
456,84.4,20.1,134.5,31.5,9.3
457,71.1,32.2,99.4,22.1,3.7
458,94.7,36.2,194.7,17.0,6.1
459,63.1,14.2,77.9,48.6,14.5
460,51.7,24.3,62.2,44.5,10.3
461,52.0,21.5,104.4,13.0,6.9
462,83.1,31.1,151.4,19.5,14.4
463,102.8,27.7,176.1,48.3,14.1
464,75.5,22.8,147.6,10.1,4.1
465,67.2,32.6,95.1,39.3,5.0
466,60.2,13.2,100.3,32.9,12.7
467,60.8,17.9,89.0,29.3,13.2
468,83.2,17.7,180.9,29.3,6.3
469,74.2,19.0,120.0,35.5,12.6
470,80.2,12.8,135.3,37.4,12.1
471,55.3,32.3,99.9,49.2,13.9
472,68.9,24.0,108.4,29.3,12.1
473,95.3,16.7,189.7,42.4,13.2
474,95.3,11.7,193.7,19.9,14.2
475,89.9,21.9,166.6,23.2,5.2
476,77.2,24.3,103.2,32.1,4.2
477,90.9,30.8,173.9,18.8,13.3
478,89.2,13.1,173.8,17.8,12.5
479,60.6,31.4,114.3,17.8,7.1
480,79.8,37.1,183.2,12.9,4.6
481,92.7,17.4,171.7,11.6,9.4
482,77.8,18.7,87.6,42.6,9.8
483,60.2,39.9,67.5,28.5,14.6
484,70.2,24.8,143.2,12.5,13.3
485,66.6,33.6,123.7,24.9,3.4
486,56.0,36.4,60.0,26.8,8.5
487,77.9,13.2,162.9,25.2,8.2
488,74.2,14.0,162.6,13.8,14.3
489,67.5,25.6,66.0,32.6,4.1
490,55.8,39.8,64.7,19.7,11.1
491,73.5,35.9,125.2,46.5,5.9
492,96.9,17.5,187.9,21.5,3.8
493,87.6,31.1,156.0,19.5,4.9
494,62.0,27.1,100.8,21.8,8.6
495,62.9,27.8,106.2,27.9,13.9
496,84.5,24.8,143.6,34.6,11.0
497,91.3,26.4,174.2,35.8,3.0
498,67.1,22.3,68.8,34.0,4.0
499,80.7,20.6,118.2,49.1,14.2
500,87.3,11.7,174.5,38.7,14.4
501,83.9,36.1,153.6,45.0,6.2
502,53.3,37.6,57.2,27.9,9.2
503,83.8,33.6,138.7,21.4,10.4
504,88.5,25.9,163.3,47.9,13.8
505,81.0,32.7,142.1,30.8,13.4
506,76.0,22.4,114.3,20.5,11.7
507,73.0,38.3,130.4,17.2,11.1
508,81.1,23.9,118.6,49.8,14.2
509,67.2,35.0,76.6,19.3,7.9
510,75.3,36.4,139.2,26.0,4.4
511,87.5,13.0,174.9,43.8,7.4
512,58.1,32.7,79.5,32.0,10.4
513,69.6,12.6,115.1,46.0,10.3
514,76.9,22.0,135.4,38.4,11.4
515,61.3,31.4,97.5,25.1,5.9
516,92.2,23.9,167.3,44.2,14.9
517,90.8,25.1,199.2,37.5,8.1
518,88.9,27.7,187.9,38.9,12.7
519,56.6,33.5,57.8,45.5,12.9
520,85.8,10.5,185.3,30.1,8.1
521,62.9,28.4,97.6,14.4,9.2
522,61.6,29.4,61.7,28.9,5.1
523,73.3,21.4,132.6,46.4,6.5
524,80.1,16.7,124.1,42.6,4.1
525,77.2,20.6,131.8,46.8,8.7
526,86.9,27.8,184.0,34.6,12.6
527,75.8,28.9,135.7,32.2,9.1
528,72.5,12.0,127.1,26.0,11.9
529,78.6,32.7,176.0,12.4,3.9
530,58.8,18.7,88.9,25.0,7.7
531,94.8,39.2,151.2,16.5,9.9
532,86.6,34.9,142.1,29.2,4.9
533,86.4,20.2,142.9,37.1,5.1
534,68.1,18.4,104.5,40.4,12.4
535,75.0,21.9,122.0,26.6,12.8
536,82.5,31.0,162.0,21.5,5.3
537,79.6,23.8,142.8,47.1,13.2
538,78.6,17.9,136.9,48.0,7.8
539,60.4,35.4,54.5,38.9,11.8
540,61.4,37.3,99.6,15.7,7.3
541,64.2,19.6,140.2,30.3,9.8
542,75.9,31.1,195.8,19.9,14.3
543,67.1,30.6,95.8,17.3,9.2
544,77.8,19.0,191.6,21.3,6.0
545,79.5,35.8,100.2,47.2,12.2
546,87.3,23.9,177.6,21.1,5.4
547,78.8,31.8,145.8,23.0,10.2
548,71.2,27.3,102.5,43.4,13.5
549,79.9,33.9,177.9,46.7,4.7
