order_no,cus_id,product,quantity,price
C536649,CUS0038,Headset,1,36.64
536634,CUS0074,Laptop,2,18.1
536311,CUS0079,Headset,2,42.91
C542426,CUS0099,Laptop,6,489.99
536209,CUS0041,Headset,2,64.17
536549,CUS0034,Laptop,2,92.49
536033,CUS0079,Headset,2,71.57
536031,CUS0055,Headset,3,18.15
536713,CUS0033,Monitor,2,84.08
536433,CUS0032,Mouse,2,21.28
536465,CUS0093,Headset,2,147.67
536693,CUS0007,Mouse,1,122.78
536547,CUS0046,Mouse,3,60.65
536824,CUS0082,Mouse,1,47.54
536109,CUS0038,Monitor,1,54.25
536077,CUS0067,Laptop,2,71.38
536570,CUS0076,Monitor,2,10.44
536740,CUS0066,Headset,3,54.26
536082,CUS0002,Headset,2,71.01
536442,CUS0032,Monitor,3,32.81
536327,CUS0016,Laptop,3,133.5
536361,CUS0065,Laptop,2,66.91
536481,CUS0014,Laptop,2,77.6
536355,CUS0025,Monitor,2,131.04
536002,CUS0015,Keyboard,2,131.82
536101,CUS0090,Monitor,2,60.63
536350,CUS0008,Laptop,2,130.12
536507,CUS0041,Monitor,3,18.37
536478,CUS0097,Monitor,1,27.86
536208,CUS0080,Headset,2,11.41
536005,CUS0002,Monitor,1,98.53
536054,CUS0014,Laptop,3,36.76
536292,CUS0079,Headset,1,20.77
536833,CUS0012,Laptop,2,124.2
536363,CUS0003,Headset,3,26.41
536670,CUS0009,Mouse,1,134.27
536097,CUS0024,Keyboard,3,120.57
536578,CUS0004,Mouse,3,71.91
536767,CUS0067,Headset,2,149.0
536753,CUS0016,Mouse,3,115.19
536687,CUS0066,Monitor,2,70.83
C536439,CUS0084,Laptop,2,56.25
536557,CUS0093,Mouse,1,91.96
536323,CUS0080,Laptop,2,49.45
536830,CUS0014,Mouse,3,138.45
536025,CUS0025,Mouse,2,43.45
536084,CUS0095,Monitor,1,136.54
536010,CUS0049,Headset,3,118.64
536749,CUS0058,Keyboard,3,57.65
C536099,CUS0073,Monitor,2,49.57
536344,CUS0051,Laptop,2,83.81
536539,CUS0034,Mouse,2,117.3
536518,CUS0009,Monitor,2,61.21
536451,CUS0027,Mouse,2,138.11
536118,CUS0012,Monitor,2,42.29
536440,CUS0018,Monitor,3,59.61
536814,CUS0006,Laptop,1,119.33
536029,CUS0013,Keyboard,2,61.58
536055,CUS0041,Mouse,2,127.27
536479,CUS0055,Monitor,2,42.55
536526,CUS0061,Mouse,1,118.69
536631,CUS0098,Mouse,3,130.09
536332,CUS0087,Headset,1,28.15
536196,CUS0077,Laptop,2,78.67
536420,CUS0075,Laptop,3,41.3
536081,CUS0039,Laptop,2,45.63
536298,CUS0093,Laptop,2,82.86
536429,CUS0073,Keyboard,2,52.49
536827,CUS0032,Headset,1,148.75
C536469,CUS0064,Keyboard,2,19.29
536839,CUS0082,Laptop,3,93.89
536239,CUS0018,Laptop,1,114.96
536664,CUS0023,Keyboard,1,79.81
536204,CUS0052,Headset,1,66.8
536211,CUS0005,Laptop,1,66.14
C536603,CUS0062,Headset,2,71.2
C536367,CUS0069,Laptop,1,62.35
536405,CUS0072,Laptop,1,146.36
536227,CUS0085,Mouse,1,142.03
C536056,CUS0090,Mouse,2,56.75
536306,CUS0004,Mouse,1,71.27
536762,CUS0032,Mouse,1,143.56
C536584,CUS0095,Mouse,2,52.87
536548,CUS0094,Mouse,1,38.34
536326,CUS0039,Laptop,3,12.31
536422,CUS0034,Headset,3,121.91
536286,CUS0066,Laptop,2,56.1
536331,CUS0036,Keyboard,3,32.53
536007,CUS0062,Monitor,1,84.56
536155,CUS0027,Headset,1,134.69
536602,CUS0068,Laptop,2,38.73
536436,CUS0075,Keyboard,1,137.13
C540004,CUS0001,Mouse,2,35.67
536359,CUS0023,Keyboard,2,59.83
536745,CUS0045,Monitor,3,77.76
536774,CUS0042,Laptop,2,74.2
536302,CUS0009,Mouse,1,93.15
536672,CUS0047,Headset,1,86.08
C536708,CUS0043,Headset,2,50.94
536616,CUS0031,Mouse,3,138.21
536499,CUS0034,Headset,2,42.75
536760,CUS0091,Monitor,1,77.02
536551,CUS0069,Keyboard,1,68.12
536404,CUS0005,Keyboard,2,82.96
536408,CUS0072,Keyboard,1,47.4
536228,CUS0028,Keyboard,3,140.97
536318,CUS0010,Mouse,3,114.24
536697,CUS0023,Laptop,3,59.29
536212,CUS0086,Monitor,1,45.23
536079,CUS0083,Headset,2,88.27
536148,CUS0061,Laptop,3,31.94
C536498,CUS0035,Laptop,1,70.35
C536778,CUS0068,Keyboard,1,42.44
536309,CUS0057,Monitor,3,30.18
536714,CUS0038,Monitor,2,101.07
536541,CUS0015,Headset,1,14.11
536133,CUS0059,Keyboard,1,73.75
536558,CUS0087,Laptop,1,86.36
536580,CUS0003,Laptop,1,65.8
536626,CUS0026,Keyboard,1,32.01
536000,CUS0009,Laptop,1,30.8
536675,CUS0027,Headset,1,60.94
536521,CUS0100,Keyboard,2,128.26
536310,CUS0055,Mouse,2,38.49
536501,CUS0089,Laptop,3,59.39
536430,CUS0081,Mouse,2,58.91
536462,CUS0067,Laptop,2,126.21
536172,CUS0079,Mouse,1,32.9
536125,CUS0060,Mouse,2,91.32
536357,CUS0065,Headset,1,11.01
536377,CUS0003,Headset,3,145.36
C536784,CUS0024,Keyboard,1,65.59
536090,CUS0064,Mouse,3,50.01
C536475,CUS0091,Keyboard,1,57.79
536181,CUS0074,Laptop,3,73.09
536274,CUS0015,Headset,1,33.98
C536061,CUS0094,Headset,1,12.31
536069,CUS0075,Monitor,1,87.56
536291,CUS0011,Monitor,2,90.25
536131,CUS0073,Laptop,3,52.39
536300,CUS0031,Keyboard,2,110.87
536380,CUS0022,Keyboard,1,138.32
536144,CUS0023,Mouse,3,47.93
536554,CUS0050,Keyboard,2,75.76
536135,CUS0076,Mouse,3,133.95
536164,CUS0081,Mouse,2,11.47
536028,CUS0011,Laptop,2,74.7
536536,CUS0059,Laptop,3,26.45
536193,CUS0039,Mouse,2,104.13
536351,CUS0018,Monitor,2,48.26
536808,CUS0001,Mouse,1,28.82
536169,CUS0061,Monitor,3,120.51
536617,CUS0061,Keyboard,3,129.06
536140,CUS0021,Laptop,3,14.25
536173,CUS0061,Laptop,1,81.29
536006,CUS0060,Monitor,2,138.8
536613,CUS0020,Keyboard,1,45.65
536568,CUS0019,Keyboard,3,64.78
536073,CUS0040,Monitor,1,76.41
536652,CUS0014,Monitor,3,91.92
536732,CUS0045,Headset,2,119.25
536238,CUS0041,Headset,1,100.52
536145,CUS0039,Mouse,1,19.49
536758,CUS0070,Monitor,3,116.08
536234,CUS0037,Headset,1,143.09
536220,CUS0013,Keyboard,2,148.36
536428,CUS0050,Monitor,3,127.02
536453,CUS0022,Laptop,3,144.97
536132,CUS0089,Laptop,3,143.58
C536679,CUS0007,Monitor,1,31.39
536530,CUS0028,Laptop,3,15.66
536185,CUS0029,Keyboard,1,51.97
536041,CUS0039,Headset,3,77.07
536583,CUS0031,Mouse,2,31.47
536108,CUS0081,Headset,2,88.81
536590,CUS0093,Keyboard,3,70.43
536056,CUS0039,Headset,3,82.48
536365,CUS0070,Mouse,1,148.17
536398,CUS0091,Headset,1,91.92
C536150,CUS0057,Keyboard,2,36.8
536024,CUS0095,Monitor,3,22.38
536679,CUS0060,Keyboard,3,82.75
536500,CUS0084,Headset,1,121.76
C536722,CUS0011,Keyboard,2,67.98
C536348,CUS0060,Keyboard,2,53.01
536338,CUS0023,Laptop,1,30.36
536051,CUS0053,Headset,2,135.87
536490,CUS0091,Laptop,1,59.27
C536089,CUS0073,Headset,2,26.39
536605,CUS0012,Mouse,1,48.12
536264,CUS0098,Mouse,1,23.62
536677,CUS0019,Laptop,2,135.06
536656,CUS0032,Keyboard,3,42.61
C536630,CUS0017,Monitor,2,16.35
536832,CUS0093,Monitor,3,62.91
536018,CUS0087,Keyboard,3,89.83
536684,CUS0034,Laptop,2,47.43
536542,CUS0010,Headset,1,86.13
C536519,CUS0011,Headset,2,40.93
536367,CUS0091,Mouse,1,17.93
536083,CUS0027,Mouse,3,43.69
536061,CUS0003,Headset,3,90.24
536559,CUS0055,Laptop,1,10.79
536272,CUS0055,Keyboard,1,115.56
536285,CUS0061,Keyboard,3,80.36
536360,CUS0053,Monitor,3,89.29
536354,CUS0075,Keyboard,2,15.39
536411,CUS0007,Laptop,2,95.37
536278,CUS0010,Keyboard,3,60.98
536012,CUS0031,Mouse,2,26.56
536182,CUS0045,Mouse,2,11.24
536368,CUS0041,Keyboard,3,95.58
536495,CUS0054,Mouse,2,132.24
536588,CUS0068,Headset,3,72.2
536223,CUS0032,Laptop,1,148.5
536601,CUS0048,Headset,3,148.45
536668,CUS0010,Headset,2,122.12
536456,CUS0028,Mouse,3,20.73
536468,CUS0038,Headset,3,73.83
536765,CUS0070,Monitor,2,68.58
536582,CUS0049,Headset,3,78.77
536176,CUS0011,Headset,1,138.03
536636,CUS0036,Headset,1,69.25
C536745,CUS0034,Laptop,1,20.55
536482,CUS0017,Mouse,1,49.02
536633,CUS0085,Headset,2,43.04
536163,CUS0053,Headset,2,113.55
536248,CUS0037,Monitor,1,142.74
536606,CUS0065,Keyboard,1,87.83
536845,CUS0061,Mouse,2,116.57
536375,CUS0053,Headset,1,42.06
536412,CUS0045,Keyboard,3,82.15
536074,CUS0089,Keyboard,3,148.55
536113,CUS0097,Laptop,2,112.64
536543,CUS0020,Mouse,3,137.32
536534,CUS0019,Keyboard,1,78.26
536390,CUS0011,Headset,1,78.4
536104,CUS0058,Mouse,3,16.44
536114,CUS0043,Headset,2,17.17
536417,CUS0069,Headset,1,134.36
536447,CUS0093,Headset,3,37.4
536409,CUS0074,Mouse,3,105.3
536092,CUS0018,Mouse,3,99.11
536538,CUS0089,Headset,1,100.94
536089,CUS0061,Keyboard,3,29.25
536336,CUS0099,Headset,2,131.06
C536701,CUS0072,Monitor,1,73.68
C536183,CUS0046,Headset,2,56.77
C536453,CUS0097,Headset,2,77.24
536643,CUS0055,Headset,3,10.82
536567,CUS0014,Headset,1,10.01
536584,CUS0010,Laptop,3,102.38
536094,CUS0008,Headset,1,11.58
536011,CUS0035,Keyboard,2,84.1
536396,CUS0097,Keyboard,1,22.78
536711,CUS0040,Mouse,3,31.12
536043,CUS0054,Mouse,2,148.97
536042,CUS0088,Monitor,1,49.64
536329,CUS0021,Monitor,3,36.36
536167,CUS0081,Monitor,2,52.94
536789,CUS0042,Laptop,3,90.34
536836,CUS0098,Laptop,1,82.01
536660,CUS0045,Mouse,1,103.28
536722,CUS0097,Keyboard,2,45.65
536100,CUS0092,Mouse,3,22.14
536426,CUS0003,Mouse,3,60.57
536178,CUS0085,Keyboard,1,18.02
536444,CUS0040,Headset,1,117.64
536416,CUS0052,Headset,3,127.91
536761,CUS0029,Mouse,1,49.48
536842,CUS0092,Laptop,1,114.76
536629,CUS0087,Mouse,3,125.89
536177,CUS0080,Mouse,1,64.97
536395,CUS0075,Keyboard,1,106.38
C536085,CUS0039,Laptop,1,22.05
536759,CUS0078,Mouse,3,129.2
536653,CUS0054,Monitor,1,47.68
536383,CUS0035,Mouse,3,55.0
536257,CUS0090,Laptop,3,117.5
536835,CUS0046,Monitor,3,129.04
536335,CUS0077,Laptop,3,82.94
536587,CUS0098,Monitor,3,146.02
536015,CUS0071,Monitor,1,133.88
536003,CUS0016,Headset,1,83.27
536477,CUS0060,Laptop,1,63.66
536256,CUS0009,Keyboard,3,87.75
536519,CUS0091,Mouse,2,59.24
C536341,CUS0084,Headset,2,73.46
536737,CUS0016,Keyboard,2,129.36
536604,CUS0066,Monitor,3,147.42
536393,CUS0006,Keyboard,2,92.73
536222,CUS0018,Monitor,3,101.71
536179,CUS0057,Headset,2,103.51
536289,CUS0082,Mouse,1,140.33
536486,CUS0028,Laptop,1,91.73
536324,CUS0021,Laptop,3,78.52
C536723,CUS0002,Headset,1,55.78
536009,CUS0028,Laptop,3,24.72
536249,CUS0023,Mouse,1,99.91
536022,CUS0036,Mouse,1,17.96
536356,CUS0058,Keyboard,3,37.33
536221,CUS0015,Keyboard,2,117.59
536705,CUS0063,Monitor,2,54.0
536823,CUS0098,Laptop,1,85.17
C536349,CUS0088,Headset,2,47.46
536611,CUS0006,Laptop,3,79.62
536340,CUS0098,Keyboard,1,25.1
536431,CUS0005,Laptop,3,16.42
536525,CUS0010,Keyboard,3,87.53
536796,CUS0064,Keyboard,3,72.67
536552,CUS0009,Keyboard,3,66.96
536203,CUS0085,Keyboard,3,74.85
536603,CUS0082,Mouse,3,53.58
536445,CUS0041,Mouse,2,15.2
536237,CUS0040,Mouse,1,91.75
536093,CUS0019,Headset,3,35.44
536585,CUS0091,Keyboard,1,81.46
536532,CUS0085,Monitor,2,49.25
536068,CUS0018,Monitor,1,39.82
536595,CUS0097,Monitor,3,35.84
536800,CUS0070,Keyboard,1,108.65
536284,CUS0059,Keyboard,1,25.11
536184,CUS0012,Laptop,2,83.1
536798,CUS0100,Monitor,3,85.35
536780,CUS0034,Headset,1,17.24
536434,CUS0018,Mouse,1,71.52
536781,CUS0059,Laptop,1,142.71
536153,CUS0037,Keyboard,3,112.51
536075,CUS0070,Laptop,2,53.09
536450,CUS0023,Laptop,1,46.79
C536656,CUS0082,Monitor,1,11.14
536446,CUS0031,Headset,1,41.62
536188,CUS0031,Keyboard,1,69.62
536271,CUS0043,Laptop,2,11.87
536236,CUS0029,Monitor,2,55.19
536487,CUS0052,Keyboard,2,34.13
536117,CUS0083,Keyboard,1,118.93
C536582,CUS0093,Keyboard,1,13.6
536512,CUS0024,Laptop,3,70.97
536527,CUS0030,Keyboard,3,67.38
536764,CUS0001,Monitor,2,93.19
536126,CUS0045,Laptop,2,60.06
536116,CUS0070,Headset,3,93.04
536473,CUS0029,Laptop,2,39.84
536662,CUS0085,Keyboard,3,107.83
536057,CUS0060,Laptop,2,92.4
536644,CUS0054,Laptop,2,29.71
C536111,CUS0087,Mouse,1,60.2
536369,CUS0050,Keyboard,3,37.52
536268,CUS0055,Keyboard,2,62.73
536046,CUS0081,Mouse,3,64.16
536349,CUS0058,Laptop,3,89.28
536195,CUS0055,Monitor,1,89.34
599999,CUS0001,Headset,1,-297.39
536797,CUS0090,Headset,3,102.65
536703,CUS0030,Laptop,2,77.16
536263,CUS0035,Monitor,2,145.51
536443,CUS0013,Mouse,3,61.74
536844,CUS0048,Mouse,1,95.74
536304,CUS0045,Keyboard,3,55.95
536341,CUS0068,Laptop,3,148.19
C536222,CUS0040,Monitor,1,59.65
536149,CUS0062,Monitor,2,57.26
536124,CUS0078,Mouse,2,121.82
536752,CUS0089,Monitor,1,24.51
536050,CUS0030,Headset,2,39.15
536353,CUS0077,Laptop,1,37.25
C536255,CUS0024,Keyboard,2,61.45
536142,CUS0092,Monitor,2,63.34
536470,CUS0043,Monitor,3,110.44
536399,CUS0093,Laptop,3,127.36
536598,CUS0025,Laptop,1,142.45
536320,CUS0010,Laptop,1,136.91
536019,CUS0077,Mouse,3,83.77
536773,CUS0054,Monitor,1,44.22
536756,CUS0054,Monitor,3,29.4
C536052,CUS0075,Monitor,1,74.48
536407,CUS0042,Keyboard,1,120.1
536537,CUS0090,Monitor,3,51.16
536593,CUS0072,Mouse,3,125.83
536038,CUS0075,Monitor,1,10.2
536175,CUS0047,Headset,2,19.55
536245,CUS0093,Laptop,1,72.74
536792,CUS0011,Headset,2,134.05
536638,CUS0085,Keyboard,1,88.14
536720,CUS0026,Laptop,2,51.66
536820,CUS0054,Headset,3,21.47
536154,CUS0064,Monitor,3,47.01
536287,CUS0006,Mouse,1,117.46
536576,CUS0095,Laptop,3,99.9
536569,CUS0087,Mouse,1,144.9
536785,CUS0090,Headset,3,11.92
536017,CUS0044,Headset,2,99.64
536127,CUS0037,Laptop,3,123.2
536322,CUS0030,Laptop,3,67.04
536255,CUS0096,Laptop,2,37.39
536628,CUS0068,Laptop,3,33.05
C536349,CUS0004,Monitor,2,59.93
536190,CUS0010,Keyboard,1,73.91
536115,CUS0030,Mouse,3,40.83
536589,CUS0070,Monitor,2,94.25
536180,CUS0075,Laptop,1,65.13
536301,CUS0021,Mouse,1,13.47
536807,CUS0058,Monitor,1,16.05
536794,CUS0054,Monitor,2,25.78
536692,CUS0093,Laptop,3,43.78
C536032,CUS0064,Monitor,2,39.23
C536281,CUS0034,Mouse,2,73.41
536517,CUS0080,Laptop,3,92.21
C536451,CUS0089,Monitor,2,58.56
536045,CUS0043,Laptop,3,42.71
C536570,CUS0063,Headset,2,44.87
536157,CUS0055,Mouse,2,69.42
536710,CUS0064,Laptop,1,130.5
536171,CUS0077,Keyboard,3,11.17
536016,CUS0088,Headset,2,57.63
536511,CUS0095,Headset,1,21.33
536048,CUS0097,Laptop,2,86.46
C536301,CUS0016,Keyboard,1,51.5
536803,CUS0045,Headset,1,62.8
536515,CUS0039,Laptop,3,149.8
536655,CUS0080,Mouse,3,87.33
536480,CUS0043,Monitor,1,27.5
536283,CUS0062,Keyboard,1,43.72
536625,CUS0082,Laptop,2,22.02
536225,CUS0053,Laptop,1,59.66
536026,CUS0090,Monitor,1,34.07
536777,CUS0037,Headset,3,45.09
536437,CUS0064,Keyboard,3,94.81
C536481,CUS0023,Headset,2,26.02
536364,CUS0021,Headset,2,147.74
536229,CUS0047,Headset,2,24.74
536037,CUS0018,Keyboard,3,87.21
C536224,CUS0010,Monitor,2,40.47
536374,CUS0010,Laptop,1,92.82
536469,CUS0091,Laptop,1,117.14
C536365,CUS0013,Keyboard,1,72.82
536813,CUS0013,Mouse,2,142.39
536694,CUS0044,Keyboard,2,118.55
536194,CUS0022,Monitor,2,22.88
536816,CUS0065,Laptop,3,47.56
536826,CUS0083,Headset,3,102.12
536503,CUS0097,Monitor,1,33.97
C536154,CUS0020,Laptop,2,19.98
536793,CUS0070,Monitor,2,149.64
536579,CUS0041,Keyboard,3,27.36
C536775,CUS0068,Monitor,2,60.06
536162,CUS0065,Mouse,2,86.12
C536413,CUS0020,Monitor,1,46.54
536152,CUS0070,Headset,1,39.58
536650,CUS0067,Mouse,1,145.74
536669,CUS0042,Monitor,2,117.11
536721,CUS0057,Laptop,3,24.09
536111,CUS0039,Mouse,2,23.52
536226,CUS0038,Mouse,3,36.15
536657,CUS0082,Laptop,1,94.89
536103,CUS0002,Laptop,2,22.73
536421,CUS0099,Monitor,2,26.55
536419,CUS0012,Keyboard,1,21.06
536716,CUS0019,Monitor,1,73.86
536586,CUS0027,Monitor,3,31.74
536746,CUS0015,Keyboard,3,144.93
536119,CUS0031,Mouse,3,147.55
536053,CUS0072,Keyboard,1,25.9
536151,CUS0054,Headset,2,143.85
536403,CUS0091,Mouse,2,32.79
C536196,CUS0088,Headset,1,10.55
536207,CUS0047,Headset,2,130.18
536806,CUS0057,Keyboard,3,28.22
536728,CUS0046,Headset,1,116.55
536008,CUS0095,Monitor,3,91.39
C536174,CUS0018,Headset,2,64.92
536036,CUS0095,Keyboard,2,70.91
536452,CUS0057,Monitor,1,24.41
536651,CUS0034,Headset,3,130.0
536253,CUS0028,Keyboard,3,23.79
536303,CUS0020,Monitor,3,142.92
536712,CUS0051,Keyboard,2,21.26
536571,CUS0003,Headset,1,77.98
536623,CUS0009,Monitor,2,88.88
536678,CUS0085,Headset,1,53.05
536688,CUS0026,Laptop,3,92.15
536262,CUS0056,Headset,2,52.18
536610,CUS0051,Keyboard,3,128.62
536297,CUS0008,Headset,3,31.92
536414,CUS0059,Monitor,2,39.71
536150,CUS0060,Laptop,1,56.16
536754,CUS0062,Laptop,3,79.25
536640,CUS0094,Headset,3,15.2
536848,CUS0009,Keyboard,3,82.57
536550,CUS0098,Laptop,1,101.22
536757,CUS0027,Keyboard,2,84.64
536488,CUS0024,Laptop,3,126.23
536147,CUS0082,Monitor,1,40.87
536146,CUS0036,Keyboard,1,44.09
536689,CUS0062,Mouse,3,125.52
C536712,CUS0054,Headset,2,57.06
536706,CUS0001,Monitor,2,26.04
536659,CUS0014,Monitor,3,65.83
536348,CUS0012,Headset,1,123.31
536463,CUS0027,Laptop,3,131.77
536325,CUS0079,Keyboard,3,116.09
536186,CUS0072,Monitor,1,112.05
536123,CUS0019,Monitor,1,141.5
C536291,CUS0072,Monitor,2,76.16
536608,CUS0048,Monitor,3,86.72
536143,CUS0099,Headset,1,81.66
C536475,CUS0100,Keyboard,1,18.98
536197,CUS0090,Laptop,3,95.46
536609,CUS0015,Laptop,1,108.48
536279,CUS0038,Mouse,1,112.32
