,Guild_Contribution,Character_Level,Weekly_Playtime,Chat_Activity,Days_Inactive,Guild_Rank,PVP_Score,Quest_Completed,Item_Level,User_Level
185,539.74,53,17.74,209,5,4,547.21,400,261.91,1
186,358.02,106,12.56,294,5,7,487.46,390,246.87,1
187,300.73,87,55.34,208,3,3,494.9,296,374.28,1
188,674.56,82,39.86,221,1,3,500.22,168,291.14,1
189,530.27,67,49.92,111,14,0,322.56,246,175.76,0
190,584.11,28,20.08,255,8,3,441.7,87,234.73,0
191,211.79,82,13.09,203,5,9,475.92,289,264.56,1
192,452.04,120,40.06,29,21,0,245.65,349,170.45,1
193,987.68,49,52.28,219,17,4,484.97,524,278.0,1
194,399.63,63,22.21,0,12,0,190.75,281,377.15,0
195,327.74,31,15.96,143,20,1,303.59,337,311.22,0
196,907.33,86,18.2,93,3,6,664.46,800,394.87,1
197,294.37,79,12.4,201,9,8,222.81,358,500.0,1
198,368.83,41,24.97,285,1,3,494.46,191,395.69,1
199,618.29,107,68.06,190,20,6,318.81,443,439.4,1
200,307.78,114,32.88,37,15,1,312.47,294,339.33,1
201,197.64,38,13.63,26,7,2,527.44,330,183.64,0
202,189.82,1,5.86,30,12,0,103.83,0,100.0,0
203,510.15,87,37.63,89,7,2,260.06,792,324.01,1
204,835.51,55,41.98,197,13,8,537.88,431,406.21,1
205,87.39,1,12.59,0,15,0,373.51,0,206.84,0
206,149.03,33,37.8,191,17,0,503.0,398,130.93,0
207,239.97,37,51.1,114,12,2,370.23,174,365.29,1
208,186.07,64,17.79,134,18,4,149.04,0,100.0,0
209,448.92,69,25.42,84,0,0,222.67,321,336.52,0
210,304.76,91,58.69,324,20,0,742.55,348,221.83,1
211,331.05,64,48.89,3,8,7,999.0,341,378.63,1
212,528.08,37,39.12,104,8,5,409.36,313,179.63,1
213,139.29,20,12.71,129,16,2,226.15,325,100.0,0
214,668.17,76,26.46,192,0,0,402.49,306,441.12,1
215,64.67,1,56.8,46,25,1,452.3,217,361.36,0
216,490.86,81,15.31,126,7,1,319.67,65,415.42,0
217,410.74,32,57.24,182,13,0,946.85,269,115.82,1
218,560.41,40,29.31,57,0,7,584.65,253,500.0,1
219,535.34,101,44.04,248,1,0,928.91,159,329.6,1
220,636.29,81,20.85,221,8,2,338.36,561,273.36,1
221,414.75,64,44.4,155,10,8,377.34,621,415.23,1
222,236.67,72,30.84,0,20,2,249.73,327,100.0,0
223,159.65,1,16.63,18,11,1,209.56,301,260.74,0
224,365.98,11,19.42,119,12,1,360.83,335,161.96,0
225,88.93,41,29.03,78,22,2,134.99,238,307.13,0
226,536.0,113,70.0,396,2,7,767.03,744,500.0,2
227,321.48,49,24.5,205,15,0,157.01,283,338.22,0
228,604.12,73,25.95,0,7,1,463.76,419,152.81,1
229,781.53,61,30.45,183,0,2,615.01,529,160.03,1
230,700.7,54,21.88,70,8,5,557.26,479,270.83,1
231,376.07,113,27.62,305,0,4,355.71,720,407.91,1
232,399.14,78,33.61,152,0,6,724.39,214,295.34,1
233,691.52,78,35.75,193,3,1,485.5,164,218.45,1
234,132.16,1,15.18,25,0,4,346.89,359,100.0,0
235,567.01,28,53.08,277,7,4,252.83,354,390.5,1
236,240.77,21,5.56,157,21,3,602.56,114,178.01,0
237,385.4,24,11.44,81,1,0,275.15,178,274.64,0
238,425.5,43,70.0,80,0,6,546.03,436,211.93,1
239,183.26,62,7.19,111,17,0,364.82,118,196.51,0
240,612.36,78,18.45,278,0,2,450.66,299,166.06,1
241,524.01,68,42.18,324,0,10,724.3,598,451.14,2
242,378.18,67,34.07,273,0,8,388.68,687,284.9,1
243,6.53,10,7.74,72,4,0,164.77,183,150.06,0
244,170.21,39,31.2,204,5,0,67.43,91,348.72,0
245,114.19,48,41.21,283,1,0,518.59,447,225.03,1
246,126.2,5,36.15,157,9,2,150.64,259,100.0,0
247,959.12,97,70.0,147,1,9,821.89,513,500.0,2
248,752.95,102,9.45,146,6,1,497.45,709,461.28,2
249,343.07,101,31.01,281,2,2,705.54,296,378.07,1
250,281.16,32,26.78,99,21,0,398.83,492,227.8,0
251,366.37,28,35.08,176,8,0,189.91,208,402.81,0
252,449.39,38,70.0,286,0,4,332.04,159,403.13,1
253,450.53,47,50.51,151,28,3,254.29,318,472.19,0
254,384.22,82,32.41,56,14,0,431.52,228,323.71,0
255,443.66,47,18.88,127,4,5,320.82,669,201.12,1
256,578.04,41,31.04,146,9,8,876.27,202,299.31,1
257,420.77,44,29.39,258,1,2,697.25,228,342.33,1
258,324.16,63,44.45,266,15,5,164.05,335,222.86,1
259,301.89,65,54.68,0,0,0,237.06,113,166.17,0
260,141.11,56,8.04,94,11,0,384.52,587,321.57,1
261,170.53,60,36.78,313,0,5,549.16,365,500.0,2
262,21.48,67,7.09,57,0,1,170.69,257,100.0,0
263,235.4,120,51.43,125,8,2,600.56,488,325.34,1
264,691.24,42,33.78,280,19,2,651.99,487,354.73,1
265,284.73,92,67.18,152,19,2,999.0,256,418.42,1
266,605.99,28,40.1,225,0,6,999.0,318,301.3,1
267,637.34,63,50.14,107,6,6,437.33,309,271.85,1
268,150.43,44,6.49,166,22,3,113.74,209,164.87,0
269,500.2,52,33.84,16,17,5,101.26,228,136.02,0
270,436.05,43,24.32,17,6,7,412.77,421,372.69,1
271,859.56,34,53.05,181,14,2,725.55,340,311.49,1
272,217.5,91,27.37,166,6,9,148.34,159,444.29,1
273,217.38,108,10.4,178,0,2,285.6,410,351.1,1
274,498.74,58,7.78,278,3,4,209.35,331,430.44,1
275,178.45,12,21.61,259,10,5,397.63,409,500.0,1
276,593.86,46,20.3,176,14,8,322.48,601,382.99,1
277,599.2,77,38.27,239,5,3,791.53,582,125.01,1
278,640.22,45,9.43,211,0,1,495.2,451,355.0,1
279,385.76,73,26.52,234,6,0,196.6,291,170.81,1
280,499.96,41,36.92,110,9,5,178.39,453,119.45,1
281,408.71,16,19.78,74,11,0,78.84,0,161.28,0
282,142.61,1,5.01,89,26,2,147.02,168,234.98,0
283,195.64,79,34.28,119,10,2,71.39,247,160.95,0
284,381.03,36,45.77,290,7,0,676.28,431,286.15,1
285,414.37,16,36.81,76,17,2,41.75,528,328.66,0
286,509.47,73,51.88,222,6,8,387.41,433,381.99,1
287,663.54,86,47.81,72,10,3,853.54,266,419.16,1
288,470.87,72,15.42,66,13,0,94.57,259,354.06,0
289,200.45,64,70.0,277,20,3,411.21,436,425.43,1
290,392.79,25,15.72,107,2,6,262.23,40,217.32,0
291,221.09,1,2.24,1,11,0,54.33,140,204.99,0
292,441.09,87,42.69,256,10,1,769.57,445,454.11,1
293,747.25,68,20.78,173,17,2,43.03,385,341.95,0
294,198.46,45,6.92,137,0,0,248.96,231,130.72,0
295,755.51,60,58.33,142,2,7,627.47,28,185.13,1
296,652.66,59,11.56,80,13,2,951.35,433,430.15,1
297,388.03,43,34.67,51,15,2,61.38,103,500.0,0
298,432.25,58,17.34,2,12,1,475.69,282,258.81,1
299,287.37,36,31.47,86,29,0,143.72,373,225.95,0
300,383.72,58,30.34,55,0,1,95.39,224,284.58,0
301,311.07,59,70.0,196,0,0,717.34,507,335.52,1
302,423.85,39,58.61,73,24,3,475.99,363,500.0,1
303,674.58,81,22.51,226,0,6,267.7,549,423.67,1
304,260.09,58,31.46,305,5,1,368.83,402,232.89,1
305,875.39,120,53.22,173,8,7,999.0,532,426.71,2
306,360.24,37,9.38,219,6,2,499.15,181,330.07,1
307,233.41,36,20.19,168,0,1,121.73,145,262.48,0
308,444.45,79,28.69,80,8,5,458.95,200,142.22,1
309,209.96,57,26.3,93,14,2,268.92,187,334.13,0
310,314.48,1,17.66,58,21,2,177.83,156,167.51,0
311,216.24,2,34.25,61,14,1,353.65,603,188.45,0
312,53.09,42,32.57,122,23,4,51.75,15,347.08,0
313,527.97,113,32.4,195,12,4,512.63,245,499.75,2
314,977.21,56,32.37,214,7,0,195.86,533,344.12,1
315,170.38,100,30.57,144,13,5,357.75,258,314.4,1
316,275.89,27,26.01,41,1,0,321.23,177,179.56,0
317,727.11,57,43.37,0,14,5,305.76,179,340.77,0
318,171.31,39,11.76,139,19,0,117.01,223,323.95,0
319,572.73,71,23.13,41,22,0,463.38,455,372.49,0
320,753.61,55,48.27,355,0,2,664.37,577,236.55,1
321,441.85,91,52.22,0,8,8,271.07,203,161.96,1
322,458.45,57,15.93,65,6,6,359.31,276,254.0,1
323,340.93,56,53.26,0,16,2,199.84,235,142.7,0
324,671.26,97,59.25,303,4,9,569.78,635,500.0,2
325,298.26,71,48.86,244,9,0,506.75,767,204.25,1
326,693.17,83,70.0,308,13,4,836.54,285,500.0,1
327,569.18,30,70.0,214,9,2,811.88,617,146.37,1
328,336.18,19,14.71,0,0,0,350.88,159,271.38,0
329,497.7,65,37.52,223,6,0,144.37,434,109.74,0
330,482.12,24,29.35,149,21,1,243.87,0,294.11,0
331,987.68,36,47.05,78,0,2,286.7,537,221.32,1
332,150.68,38,33.59,107,7,2,152.25,336,105.39,0
333,224.32,33,8.63,0,19,6,441.08,105,209.74,0
334,256.98,1,27.12,220,17,0,391.97,284,252.91,0
335,133.53,30,35.43,56,17,1,415.37,292,237.18,0
336,692.49,76,42.65,0,12,8,312.57,488,303.47,1
337,764.2,90,31.09,269,4,0,401.46,390,100.0,1
338,987.68,56,51.82,280,9,4,268.27,636,318.5,1
339,346.89,64,13.01,58,21,0,219.91,0,234.71,0
340,306.73,60,22.28,99,20,9,519.89,455,260.29,1
341,582.23,78,18.26,195,8,2,477.38,206,100.0,1
342,495.75,48,6.26,183,2,5,41.1,321,274.23,0
343,125.45,17,20.79,51,0,0,173.43,476,100.0,0
344,255.23,11,5.54,113,12,5,92.94,0,172.08,0
345,554.69,41,50.84,271,0,8,341.59,319,100.0,1
346,600.47,69,22.77,149,0,9,431.05,351,301.11,1
347,152.81,67,26.39,0,18,1,210.5,331,179.57,0
348,164.61,46,66.41,120,0,3,70.08,0,148.46,0
349,274.49,40,22.53,222,13,0,454.84,568,332.58,1
350,635.95,35,55.61,96,0,8,460.22,311,236.07,1
351,225.3,82,17.65,116,0,2,389.48,411,124.23,1
352,687.75,81,33.86,152,12,0,603.71,272,500.0,1
353,124.33,43,14.78,0,0,1,68.79,0,305.77,0
354,187.85,60,9.11,138,17,1,265.53,238,171.74,0
355,291.6,36,40.53,131,4,1,276.56,620,112.39,1
356,199.02,14,23.35,34,4,0,504.22,73,158.67,0
357,808.63,62,41.91,188,0,3,843.78,312,500.0,1
358,331.66,76,70.0,44,0,4,948.44,402,249.79,1
359,311.15,55,13.25,84,2,0,381.84,461,281.89,1
360,454.8,68,20.32,109,10,4,444.79,49,214.79,0
361,365.11,57,39.65,243,3,1,620.49,327,441.66,1
362,790.03,92,23.71,128,0,8,529.15,399,456.72,1
363,588.77,40,35.72,79,0,7,245.04,95,413.57,1
364,312.12,88,31.55,261,12,2,395.42,225,273.92,1
365,361.49,54,29.41,171,20,2,137.95,105,231.1,0
366,318.2,87,70.0,269,3,6,485.24,617,288.89,2
367,305.0,67,47.53,108,6,4,206.22,291,315.87,1
368,101.68,62,16.67,58,0,1,210.79,535,195.62,0
369,31.47,1,33.52,22,30,6,186.17,388,213.7,0
370,440.41,59,7.58,0,6,2,104.47,143,305.33,0
371,151.93,91,18.63,0,14,5,433.25,439,100.0,0
372,203.1,47,38.07,199,4,3,401.88,347,171.77,0
373,178.35,53,52.83,276,8,5,423.0,253,130.6,1
374,449.7,63,41.2,0,12,0,46.54,272,280.25,0
375,201.82,82,17.59,27,3,0,78.54,61,232.06,0
376,439.34,96,29.47,161,13,9,424.52,635,285.33,1
377,85.05,34,25.01,144,2,2,393.11,175,100.0,0
378,168.73,68,46.24,110,6,6,398.0,534,174.16,1
379,316.33,28,24.12,125,14,3,262.63,18,184.43,0
380,563.66,9,35.29,0,10,4,348.47,262,263.75,0
381,268.45,14,41.77,115,2,5,594.37,301,164.48,1
382,981.7,53,18.29,126,6,6,526.25,387,150.73,1
383,286.27,72,40.62,253,10,0,681.97,560,489.87,1
384,206.27,49,23.0,236,7,6,297.46,244,329.39,1
385,315.79,94,70.0,54,1,2,244.92,50,310.99,1
386,28.21,78,13.4,84,0,0,355.77,180,366.28,0
387,127.6,47,18.11,0,2,2,531.92,271,100.0,0
388,385.81,47,43.08,74,16,2,591.49,676,383.05,1
389,262.76,120,41.74,104,10,5,338.76,308,283.76,1
390,455.8,75,57.11,74,0,8,999.0,583,462.74,2
391,53.96,41,14.4,230,9,0,137.91,0,140.7,0
392,164.06,69,34.33,135,17,0,165.57,59,303.91,0
393,121.79,107,50.08,18,13,7,219.17,375,322.6,1
394,405.93,27,41.26,234,0,2,618.06,241,500.0,0
395,222.83,74,51.45,237,10,5,406.27,364,500.0,1
396,527.36,97,45.53,129,14,7,556.22,182,198.53,1
397,560.13,33,23.13,135,28,2,312.63,0,135.83,0
398,545.72,68,35.17,370,2,4,457.86,423,178.47,1
399,327.54,68,70.0,70,6,6,546.35,633,213.54,1
400,190.28,1,5.42,66,24,0,77.25,133,253.76,0
401,520.19,69,58.73,118,2,1,644.01,289,133.51,1
402,430.05,58,41.8,185,6,3,591.57,497,473.86,1
403,466.94,45,70.0,223,12,1,168.47,277,298.18,1
404,100.94,42,45.1,45,9,1,202.7,337,133.13,0
405,299.21,86,28.57,88,3,4,805.67,420,227.14,1
406,183.11,55,50.82,32,15,0,145.55,289,163.13,0
407,117.29,64,10.69,134,15,6,57.08,33,147.1,0
408,369.81,70,35.52,129,20,1,381.55,315,272.85,1
409,311.85,39,23.08,131,13,0,121.19,447,367.68,0
410,367.51,62,15.53,54,1,0,470.72,140,141.84,0
411,284.81,110,33.91,327,14,4,424.91,630,500.0,2
412,365.94,76,70.0,322,0,6,605.19,761,455.8,2
413,108.81,40,49.99,239,1,0,366.76,128,397.51,1
414,709.28,45,55.03,282,0,7,299.19,527,302.98,1
415,230.93,71,27.36,69,2,0,167.86,475,327.49,0
416,595.04,3,18.3,2,9,6,219.49,399,171.44,0
417,279.89,46,40.7,220,12,0,707.53,442,181.18,0
418,244.78,56,30.51,163,10,2,111.4,500,466.85,1
419,190.46,103,53.05,149,3,2,306.27,334,500.0,1
420,561.47,58,18.74,132,11,2,684.51,316,348.34,1
421,725.28,37,45.26,174,3,4,438.84,469,163.32,1
422,125.16,37,32.9,19,24,3,117.22,308,100.0,0
423,215.39,55,8.2,79,0,1,265.37,512,306.31,1
424,81.09,48,31.23,138,22,0,63.92,263,259.07,0
425,884.93,41,55.47,57,10,3,659.73,396,363.15,1
426,530.34,64,15.93,0,6,4,283.18,134,237.02,0
427,611.16,88,23.37,126,7,5,762.83,267,392.71,1
428,437.79,61,31.52,213,13,4,422.81,66,174.01,0
429,488.82,1,32.48,165,8,4,168.16,249,265.62,0
430,152.6,50,39.03,7,11,0,188.63,436,214.55,0
431,197.96,57,13.9,168,7,0,485.81,239,353.49,1
432,712.77,21,29.45,123,1,6,433.28,160,366.13,1
433,555.67,15,17.69,61,10,0,288.46,266,221.34,0
434,103.86,44,30.62,0,17,0,160.96,308,150.11,0
435,323.31,22,21.86,199,5,1,244.74,595,245.16,1
436,320.61,24,17.1,77,6,2,433.34,54,100.0,0
437,187.18,64,62.99,313,0,2,658.99,289,304.47,1
438,318.29,75,41.54,273,1,1,431.88,458,481.49,1
439,265.33,91,4.78,176,0,1,120.8,263,314.84,0
440,310.59,16,41.38,89,0,1,325.48,227,149.4,0
441,987.68,64,50.53,279,7,7,697.17,648,500.0,2
442,132.17,57,39.09,114,9,0,139.92,121,290.93,0
443,158.62,36,10.77,195,4,0,533.35,305,491.99,0
444,632.67,84,17.11,192,2,6,250.77,427,182.68,1
445,282.64,79,30.92,169,0,1,388.33,415,385.84,1
446,743.72,58,24.0,188,0,1,914.94,800,263.37,2
447,365.79,96,37.48,206,0,3,682.65,454,500.0,1
448,280.8,20,15.34,192,16,2,125.42,19,115.51,0
449,234.66,9,42.15,170,9,5,264.36,439,306.13,0
450,350.01,96,61.1,172,4,3,474.52,199,234.95,1
451,324.86,85,9.34,196,11,5,310.32,590,399.37,1
452,61.95,22,28.99,113,13,1,77.24,558,340.01,0
453,463.55,96,57.0,197,10,3,141.68,367,500.0,1
454,67.8,22,52.9,39,23,1,298.09,238,119.76,0
455,280.51,47,43.34,192,4,5,308.8,382,500.0,1
456,83.88,66,39.27,53,5,1,19.73,100,193.07,0
457,896.59,115,25.09,293,0,0,459.79,375,211.96,1
458,399.66,29,16.49,117,22,5,444.19,340,294.6,0
459,344.39,19,26.28,0,1,3,263.34,437,500.0,0
460,286.17,17,10.43,195,21,1,147.78,330,359.03,0
