major_topic,sub_topic,student_id,is_correct
Physics,Electromagnetism,893,0
Computer Science,Operating Systems,1358,0
Physics,Quantum,1415,1
Mathematics,Calculus,613,1
Mathematics,Calculus,1484,1
Physics,Electromagnetism,617,1
Mathematics,Calculus,1350,1
Mathematics,Calculus,62,1
Physics,Mechanics,1429,0
Physics,Quantum,375,1
Mathematics,Discrete Mathematics,504,0
Physics,Electromagnetism,1317,1
Mathematics,Calculus,1196,1
Physics,Quantum,558,1
Physics,Quantum,1313,1
Physics,Quantum,309,1
Physics,Mechanics,510,1
Physics,Electromagnetism,1499,1
Mathematics,Discrete Mathematics,750,1
Physics,Quantum,1124,1
Computer Science,Databases,247,1
Mathematics,Discrete Mathematics,1436,0
Physics,Quantum,677,1
Physics,Electromagnetism,980,1
Physics,Electromagnetism,1248,1
Physics,Mechanics,746,1
Computer Science,Operating Systems,1428,1
Mathematics,Calculus,718,1
Physics,Quantum,358,1
Computer Science,Databases,1260,1
Computer Science,Databases,869,1
Physics,Quantum,476,0
Mathematics,Calculus,128,1
Physics,Quantum,288,1
Mathematics,Discrete Mathematics,892,1
Physics,Mechanics,1054,1
Computer Science,Databases,707,1
Physics,Electromagnetism,316,1
Physics,Mechanics,954,1
Computer Science,Databases,1215,1
Physics,Electromagnetism,146,1
Physics,Mechanics,655,1
Physics,Quantum,61,1
Mathematics,Calculus,1114,0
Computer Science,Operating Systems,665,1
Physics,Mechanics,927,0
Computer Science,Databases,1039,1
Physics,Quantum,1226,1
Physics,Electromagnetism,411,0
Computer Science,Databases,1110,0
Physics,Quantum,630,0
Computer Science,Databases,1076,1
Mathematics,Calculus,1238,0
Mathematics,Discrete Mathematics,799,1
Computer Science,Databases,887,0
Mathematics,Calculus,49,1
Physics,Electromagnetism,423,0
Physics,Quantum,1018,1
Computer Science,Databases,152,1
Physics,Mechanics,1223,1
Mathematics,Discrete Mathematics,839,1
Mathematics,Calculus,1089,1
Mathematics,Discrete Mathematics,1475,0
Computer Science,Databases,1164,1
Physics,Electromagnetism,1180,0
Computer Science,Operating Systems,1412,1
Mathematics,Calculus,911,0
Mathematics,Calculus,903,0
Physics,Mechanics,19,1
Physics,Electromagnetism,692,1
Physics,Electromagnetism,336,1
Physics,Quantum,557,1
Computer Science,Operating Systems,355,0
Physics,Electromagnetism,1123,0
Computer Science,Databases,1073,0
Computer Science,Operating Systems,314,1
Physics,Quantum,1476,1
Physics,Quantum,810,1
Computer Science,Operating Systems,458,0
Mathematics,Calculus,1329,1
Mathematics,Discrete Mathematics,854,1
Computer Science,Databases,1336,1
Computer Science,Databases,614,1
Physics,Electromagnetism,1154,0
Computer Science,Databases,465,0
Physics,Quantum,648,0
Physics,Electromagnetism,538,0
Physics,Electromagnetism,1184,0
Computer Science,Operating Systems,12,1
Physics,Mechanics,1071,1
Computer Science,Databases,445,0
Computer Science,Databases,234,1
Mathematics,Discrete Mathematics,724,1
Physics,Mechanics,787,0
Mathematics,Calculus,515,0
Physics,Electromagnetism,1243,1
Computer Science,Databases,703,1
Mathematics,Calculus,1074,1
Physics,Mechanics,923,1
Mathematics,Discrete Mathematics,541,0
Physics,Electromagnetism,65,1
Mathematics,Calculus,205,1
Mathematics,Calculus,686,1
Physics,Quantum,755,1
Computer Science,Databases,1450,1
Physics,Mechanics,792,1
Mathematics,Discrete Mathematics,1236,1
Physics,Electromagnetism,191,1
Physics,Mechanics,681,1
Computer Science,Databases,550,0
Physics,Quantum,416,0
Physics,Quantum,1428,0
Mathematics,Calculus,1187,0
Mathematics,Discrete Mathematics,1038,0
Mathematics,Calculus,1343,0
Computer Science,Databases,1069,0
Mathematics,Discrete Mathematics,202,1
Physics,Quantum,780,0
Physics,Mechanics,1463,1
Mathematics,Calculus,1056,1
Computer Science,Operating Systems,919,1
Computer Science,Databases,205,1
Computer Science,Operating Systems,895,0
Mathematics,Calculus,1241,0
Mathematics,Calculus,1085,1
Physics,Quantum,50,1
Mathematics,Discrete Mathematics,1352,1
Physics,Quantum,991,1
Physics,Mechanics,462,0
Mathematics,Discrete Mathematics,860,1
Mathematics,Discrete Mathematics,366,1
Computer Science,Operating Systems,189,1
Computer Science,Databases,737,1
Physics,Electromagnetism,877,1
Mathematics,Calculus,79,1
Computer Science,Databases,1171,1
Mathematics,Discrete Mathematics,908,0
Physics,Mechanics,1492,1
Mathematics,Calculus,1218,0
Computer Science,Databases,1443,1
Computer Science,Operating Systems,899,1
Computer Science,Databases,101,1
Mathematics,Discrete Mathematics,150,0
Computer Science,Operating Systems,577,1
Physics,Mechanics,1102,1
Mathematics,Discrete Mathematics,1378,1
Mathematics,Calculus,855,0
Physics,Mechanics,1433,1
Mathematics,Calculus,349,1
Physics,Mechanics,127,1
Computer Science,Operating Systems,610,0
Physics,Mechanics,658,1
Physics,Mechanics,372,0
Computer Science,Databases,193,0
Physics,Electromagnetism,30,0
Physics,Quantum,988,1
Physics,Mechanics,1353,1
Mathematics,Discrete Mathematics,1461,1
Computer Science,Operating Systems,820,1
Mathematics,Discrete Mathematics,1498,1
Computer Science,Databases,135,1
Mathematics,Discrete Mathematics,889,1
Mathematics,Discrete Mathematics,1107,1
Physics,Quantum,1089,1
Physics,Quantum,149,1
Physics,Mechanics,1499,1
Computer Science,Databases,447,0
Computer Science,Operating Systems,106,1
Computer Science,Databases,310,0
Physics,Electromagnetism,69,1
Physics,Quantum,391,0
Mathematics,Discrete Mathematics,852,0
Mathematics,Discrete Mathematics,80,1
Mathematics,Discrete Mathematics,1005,1
Mathematics,Calculus,829,1
Physics,Mechanics,15,1
Physics,Electromagnetism,1064,1
Mathematics,Calculus,989,0
Mathematics,Discrete Mathematics,156,1
Mathematics,Calculus,155,0
Computer Science,Operating Systems,676,0
Physics,Quantum,399,1
Physics,Quantum,82,1
Computer Science,Databases,284,0
Physics,Mechanics,1314,1
Computer Science,Operating Systems,1043,1
Mathematics,Discrete Mathematics,628,1
Mathematics,Calculus,352,1
Mathematics,Calculus,909,1
Physics,Electromagnetism,445,1
Mathematics,Calculus,229,1
Computer Science,Operating Systems,1377,1
Mathematics,Calculus,770,1
Mathematics,Calculus,88,0
Computer Science,Operating Systems,1127,0
Physics,Quantum,90,1
Physics,Mechanics,1415,1
Computer Science,Operating Systems,838,1
Computer Science,Databases,1458,1
Mathematics,Discrete Mathematics,733,1
Mathematics,Calculus,397,0
Computer Science,Operating Systems,1143,1
Mathematics,Calculus,1105,0
Mathematics,Discrete Mathematics,1068,1
Mathematics,Calculus,496,1
Computer Science,Databases,1401,1
Computer Science,Databases,1190,1
Computer Science,Databases,93,1
Physics,Quantum,603,1
Computer Science,Operating Systems,981,1
Physics,Electromagnetism,355,0
Physics,Electromagnetism,1041,1
Computer Science,Operating Systems,1340,1
Computer Science,Operating Systems,775,1
Mathematics,Calculus,1260,1
Physics,Mechanics,2,1
Mathematics,Discrete Mathematics,1110,1
Physics,Quantum,1455,1
Physics,Mechanics,146,0
Physics,Mechanics,116,0
Computer Science,Operating Systems,361,1
Mathematics,Discrete Mathematics,906,1
Physics,Electromagnetism,1472,1
Mathematics,Calculus,751,1
Mathematics,Calculus,1227,1
Mathematics,Discrete Mathematics,1468,0
Physics,Quantum,1500,1
Mathematics,Discrete Mathematics,1172,0
Mathematics,Discrete Mathematics,485,1
Physics,Quantum,971,1
Physics,Electromagnetism,1389,0
Mathematics,Discrete Mathematics,1284,1
Computer Science,Databases,130,1
Physics,Electromagnetism,1136,1
Physics,Quantum,858,0
Physics,Quantum,206,1
Computer Science,Databases,57,1
Computer Science,Databases,859,1
Physics,Electromagnetism,393,1
Computer Science,Operating Systems,681,1
Mathematics,Calculus,1186,1
Computer Science,Databases,990,1
Mathematics,Calculus,820,0
Mathematics,Discrete Mathematics,713,1
Physics,Mechanics,508,0
Physics,Quantum,251,0
Computer Science,Databases,1448,0
Physics,Electromagnetism,1338,1
Mathematics,Calculus,211,1
Computer Science,Databases,239,1
Physics,Mechanics,546,1
Physics,Electromagnetism,635,1
Mathematics,Calculus,1439,1
Mathematics,Calculus,1173,1
Physics,Electromagnetism,263,1
Physics,Electromagnetism,1129,1
Computer Science,Operating Systems,736,0
Physics,Mechanics,796,1
Computer Science,Operating Systems,153,1
Physics,Electromagnetism,15,0
Physics,Quantum,1342,1
Physics,Quantum,1422,1
Computer Science,Databases,510,1
Physics,Electromagnetism,841,0
Computer Science,Databases,1480,1
Computer Science,Databases,397,0
Computer Science,Databases,935,0
Computer Science,Databases,407,0
Computer Science,Operating Systems,129,0
Computer Science,Operating Systems,183,0
Mathematics,Calculus,1022,0
Mathematics,Calculus,817,1
Mathematics,Calculus,498,1
Mathematics,Calculus,34,0
Mathematics,Discrete Mathematics,1500,0
Computer Science,Operating Systems,546,0
Computer Science,Databases,41,0
Physics,Electromagnetism,52,0
Physics,Quantum,1117,0
Computer Science,Databases,20,1
Mathematics,Discrete Mathematics,939,0
Mathematics,Discrete Mathematics,622,1
Computer Science,Databases,418,1
Physics,Electromagnetism,704,1
Physics,Quantum,782,0
Physics,Mechanics,126,1
Mathematics,Calculus,1104,1
Computer Science,Databases,145,1
Computer Science,Databases,170,1
Physics,Electromagnetism,1320,0
Mathematics,Calculus,1299,1
Computer Science,Operating Systems,1187,1
Physics,Mechanics,124,0
Physics,Electromagnetism,518,0
Computer Science,Operating Systems,25,1
Computer Science,Databases,561,1
Computer Science,Databases,1216,1
Computer Science,Operating Systems,448,1
Physics,Mechanics,315,1
Mathematics,Discrete Mathematics,971,0
Mathematics,Discrete Mathematics,692,0
Physics,Quantum,262,1
Physics,Mechanics,491,1
Mathematics,Calculus,525,0
Physics,Quantum,412,1
Mathematics,Discrete Mathematics,647,1
Physics,Mechanics,347,0
Computer Science,Databases,1016,0
Mathematics,Calculus,1405,1
Physics,Electromagnetism,858,0
Mathematics,Discrete Mathematics,1059,0
Mathematics,Discrete Mathematics,593,0
Physics,Electromagnetism,1429,0
Physics,Electromagnetism,320,1
Computer Science,Databases,578,1
Physics,Mechanics,1210,1
Physics,Quantum,871,1
Physics,Mechanics,943,0
Mathematics,Discrete Mathematics,566,1
Computer Science,Databases,1002,1
Physics,Mechanics,1025,1
Mathematics,Discrete Mathematics,637,0
Mathematics,Calculus,698,1
Mathematics,Discrete Mathematics,1446,1
Computer Science,Databases,376,1
Mathematics,Discrete Mathematics,1407,1
Mathematics,Discrete Mathematics,345,1
Mathematics,Discrete Mathematics,1300,0
Computer Science,Operating Systems,680,0
Computer Science,Operating Systems,237,0
Mathematics,Discrete Mathematics,385,0
Computer Science,Databases,833,0
Physics,Electromagnetism,660,1
Mathematics,Calculus,167,1
Computer Science,Operating Systems,1119,1
Mathematics,Calculus,1049,0
Physics,Quantum,1402,1
Physics,Quantum,1378,1
Computer Science,Databases,1217,1
Physics,Quantum,524,0
Physics,Mechanics,597,1
Physics,Electromagnetism,824,1
Computer Science,Databases,1434,1
Physics,Quantum,1243,0
Computer Science,Databases,45,1
Computer Science,Databases,1385,0
Physics,Mechanics,382,0
Physics,Mechanics,886,1
Physics,Quantum,717,1
Computer Science,Operating Systems,1238,0
Computer Science,Databases,779,0
Physics,Mechanics,868,1
Physics,Mechanics,278,0
Mathematics,Calculus,721,1
Mathematics,Calculus,632,0
Physics,Electromagnetism,360,0
Computer Science,Databases,1228,0
Physics,Mechanics,488,1
Mathematics,Calculus,657,0
Physics,Quantum,319,1
Computer Science,Databases,874,0
Physics,Mechanics,643,1
Physics,Mechanics,1421,1
Physics,Mechanics,7,1
Physics,Mechanics,302,1
Physics,Mechanics,618,1
Physics,Electromagnetism,1214,1
Physics,Mechanics,218,0
Mathematics,Calculus,557,1
Physics,Quantum,1445,0
Computer Science,Databases,1332,0
Physics,Mechanics,690,1
Computer Science,Databases,1274,1
Physics,Mechanics,1185,1
Computer Science,Databases,879,0
Physics,Mechanics,614,1
Physics,Quantum,819,0
Physics,Electromagnetism,469,0
Mathematics,Discrete Mathematics,931,0
Mathematics,Discrete Mathematics,1026,1
Mathematics,Discrete Mathematics,101,1
Physics,Electromagnetism,800,1
Computer Science,Operating Systems,848,1
Mathematics,Discrete Mathematics,142,1
Computer Science,Databases,1362,1
Computer Science,Operating Systems,1093,0
Physics,Electromagnetism,1115,1
Mathematics,Discrete Mathematics,1140,1
Physics,Electromagnetism,835,0
Mathematics,Calculus,1431,1
Computer Science,Databases,19,1
Computer Science,Databases,926,1
Mathematics,Calculus,942,1
Physics,Electromagnetism,1231,0
Physics,Quantum,332,1
Physics,Quantum,775,1
Physics,Quantum,1210,0
Physics,Mechanics,432,1
Mathematics,Discrete Mathematics,634,1
Physics,Mechanics,647,1
Computer Science,Operating Systems,903,1
Computer Science,Operating Systems,1021,0
Mathematics,Calculus,1228,0
Mathematics,Discrete Mathematics,290,1
Computer Science,Databases,708,0
Physics,Mechanics,1409,1
Physics,Quantum,970,1
Physics,Quantum,635,0
Mathematics,Calculus,798,1
Physics,Mechanics,396,0
Mathematics,Calculus,13,1
Mathematics,Calculus,805,0
Mathematics,Calculus,428,1
Mathematics,Discrete Mathematics,1395,0
Physics,Quantum,721,1
Mathematics,Calculus,1251,1
Physics,Quantum,1137,0
Mathematics,Discrete Mathematics,114,0
Mathematics,Discrete Mathematics,471,1
Physics,Electromagnetism,1054,1
Physics,Electromagnetism,1332,1
Physics,Mechanics,1255,1
Mathematics,Discrete Mathematics,1339,1
Physics,Electromagnetism,936,1
Computer Science,Databases,439,1
Mathematics,Calculus,230,1
Computer Science,Operating Systems,1488,1
Physics,Quantum,1014,1
Physics,Electromagnetism,142,1
Mathematics,Discrete Mathematics,1252,1
Physics,Quantum,1283,1
Physics,Electromagnetism,85,1
Physics,Mechanics,1109,1
Mathematics,Discrete Mathematics,106,1
Physics,Mechanics,795,1
Physics,Quantum,532,0
Physics,Quantum,383,1
Mathematics,Calculus,444,1
Computer Science,Operating Systems,310,1
Computer Science,Operating Systems,629,1
Physics,Mechanics,1257,0
Physics,Electromagnetism,197,0
Physics,Quantum,547,1
Physics,Quantum,23,0
Physics,Mechanics,928,0
Computer Science,Databases,1447,1
Mathematics,Discrete Mathematics,1403,1
Physics,Mechanics,10,1
Mathematics,Calculus,1071,0
Physics,Mechanics,161,0
Computer Science,Databases,1495,1
Physics,Electromagnetism,1330,1
Computer Science,Operating Systems,766,1
Mathematics,Discrete Mathematics,657,0
Computer Science,Operating Systems,640,0
Mathematics,Calculus,1351,1
Physics,Mechanics,845,1
Computer Science,Operating Systems,647,1
Mathematics,Calculus,1008,1
Mathematics,Discrete Mathematics,1348,1
Mathematics,Discrete Mathematics,1412,0
Physics,Quantum,328,1
Physics,Quantum,570,0
Physics,Mechanics,904,0
Computer Science,Operating Systems,410,1
Physics,Mechanics,92,1
Computer Science,Databases,28,1
Computer Science,Operating Systems,499,0
Physics,Electromagnetism,1493,1
Computer Science,Operating Systems,86,0
Physics,Mechanics,1047,0
Computer Science,Operating Systems,876,0
Physics,Electromagnetism,914,0
Computer Science,Databases,60,1
Mathematics,Discrete Mathematics,846,0
Physics,Mechanics,1076,1
Computer Science,Operating Systems,104,1
Physics,Mechanics,659,1
Computer Science,Databases,298,1
Physics,Mechanics,615,1
Mathematics,Calculus,570,1
Computer Science,Databases,47,0
Computer Science,Operating Systems,214,1
Computer Science,Databases,621,0
Physics,Mechanics,1459,1
Mathematics,Calculus,1036,1
Mathematics,Calculus,923,0
Mathematics,Calculus,680,0
Mathematics,Calculus,797,1
Physics,Quantum,310,0
Computer Science,Operating Systems,1362,0
Physics,Quantum,914,0
Physics,Quantum,80,1
Mathematics,Calculus,582,0
Computer Science,Operating Systems,1227,0
Mathematics,Calculus,1309,1
Computer Science,Operating Systems,132,0
Physics,Quantum,105,0
Physics,Quantum,1352,1
Mathematics,Discrete Mathematics,1318,1
Computer Science,Operating Systems,1431,0
Computer Science,Operating Systems,91,0
Physics,Quantum,751,1
Computer Science,Operating Systems,8,0
Computer Science,Operating Systems,787,0
Physics,Quantum,327,0
Mathematics,Discrete Mathematics,117,0
Mathematics,Calculus,1206,1
Physics,Quantum,1066,1
Physics,Electromagnetism,1119,1
Mathematics,Discrete Mathematics,1136,0
Mathematics,Calculus,274,0
Physics,Mechanics,191,1
Computer Science,Databases,1306,1
Physics,Quantum,752,0
Physics,Electromagnetism,544,1
Physics,Electromagnetism,1259,1
Physics,Quantum,1163,1
Mathematics,Discrete Mathematics,736,0
Computer Science,Databases,1240,1
Physics,Quantum,1277,1
Mathematics,Discrete Mathematics,952,0
Physics,Mechanics,517,1
Physics,Quantum,657,1
Physics,Electromagnetism,1286,1
Mathematics,Discrete Mathematics,317,0
Physics,Mechanics,366,0
Physics,Electromagnetism,735,1
Computer Science,Databases,665,1
Physics,Electromagnetism,997,0
Computer Science,Databases,1104,1
Physics,Quantum,632,0
Physics,Mechanics,413,0
Computer Science,Databases,683,1
Computer Science,Operating Systems,170,1
Physics,Quantum,1240,1
Mathematics,Discrete Mathematics,303,1
Mathematics,Calculus,101,0
Computer Science,Databases,12,0
Physics,Electromagnetism,353,1
Computer Science,Operating Systems,489,1
Mathematics,Discrete Mathematics,552,1
Physics,Electromagnetism,281,1
Mathematics,Calculus,1024,1
Physics,Mechanics,507,1
Physics,Mechanics,209,1
Mathematics,Discrete Mathematics,1053,1
Computer Science,Operating Systems,1285,0
Physics,Mechanics,31,0
Computer Science,Operating Systems,1262,1
Mathematics,Calculus,153,0
Physics,Electromagnetism,1262,1
Computer Science,Operating Systems,1258,0
Physics,Electromagnetism,1174,1
Physics,Mechanics,370,0
Physics,Mechanics,483,1
Computer Science,Databases,693,1
Physics,Mechanics,961,1
Computer Science,Operating Systems,599,0
Mathematics,Calculus,1314,0
Physics,Electromagnetism,1466,1
Mathematics,Calculus,177,1
Mathematics,Calculus,220,1
Mathematics,Discrete Mathematics,1204,0
Physics,Mechanics,1082,1
Computer Science,Operating Systems,1471,1
Computer Science,Operating Systems,1301,1
Physics,Electromagnetism,568,1
Physics,Quantum,1055,1
Computer Science,Databases,746,1
Mathematics,Discrete Mathematics,718,1
Mathematics,Calculus,1436,1
Physics,Electromagnetism,271,0
Mathematics,Discrete Mathematics,921,1
Mathematics,Calculus,638,0
Physics,Electromagnetism,606,1
Physics,Quantum,923,1
Physics,Mechanics,1345,1
Computer Science,Databases,316,1
Physics,Electromagnetism,166,1
Physics,Electromagnetism,576,1
Physics,Quantum,496,1
Physics,Electromagnetism,820,1
Physics,Mechanics,612,0
Physics,Mechanics,331,1
Physics,Quantum,422,0
Mathematics,Discrete Mathematics,885,1
Physics,Electromagnetism,1043,1
Physics,Quantum,1177,1
Computer Science,Databases,930,1
Mathematics,Calculus,897,1
Physics,Mechanics,756,0
Mathematics,Calculus,336,1
Physics,Electromagnetism,94,1
Physics,Mechanics,716,0
Physics,Electromagnetism,828,0
Physics,Electromagnetism,260,1
Computer Science,Operating Systems,994,0
Physics,Quantum,705,1
Mathematics,Discrete Mathematics,438,0
Computer Science,Databases,1411,1
Physics,Mechanics,55,0
Computer Science,Databases,492,0
Physics,Quantum,581,1
Physics,Mechanics,448,0
Mathematics,Calculus,760,1
Physics,Mechanics,297,1
Physics,Quantum,83,1
Mathematics,Calculus,51,1
Physics,Mechanics,1000,1
Physics,Electromagnetism,328,1
Physics,Mechanics,995,1
Physics,Electromagnetism,1436,1
Physics,Quantum,85,1
Physics,Electromagnetism,1364,1
Computer Science,Databases,349,1
Mathematics,Calculus,235,1
Computer Science,Operating Systems,294,1
Computer Science,Operating Systems,907,0
Computer Science,Databases,167,0
Mathematics,Discrete Mathematics,170,0
Mathematics,Discrete Mathematics,1255,1
Physics,Mechanics,1490,1
Mathematics,Discrete Mathematics,1477,0
Computer Science,Operating Systems,122,1
Computer Science,Databases,61,0
Physics,Mechanics,596,1
Mathematics,Discrete Mathematics,900,1
Computer Science,Operating Systems,31,1
Physics,Quantum,1459,1
Physics,Mechanics,630,0
Physics,Mechanics,1494,1
Mathematics,Discrete Mathematics,986,0
Physics,Electromagnetism,384,1
Physics,Quantum,1446,1
Physics,Electromagnetism,136,0
Physics,Electromagnetism,1004,0
Computer Science,Operating Systems,1465,0
Computer Science,Operating Systems,320,1
Computer Science,Operating Systems,856,1
Computer Science,Databases,196,1
Mathematics,Calculus,861,1
Computer Science,Operating Systems,1048,1
Physics,Mechanics,354,1
Computer Science,Databases,514,0
Physics,Quantum,313,1
Physics,Mechanics,938,1
Physics,Electromagnetism,368,1
Physics,Mechanics,1451,0
Computer Science,Operating Systems,964,0
Physics,Electromagnetism,852,0
Physics,Quantum,1150,1
Computer Science,Databases,131,0
Physics,Electromagnetism,26,1
Mathematics,Discrete Mathematics,629,0
Mathematics,Calculus,904,0
Mathematics,Calculus,1213,1
Mathematics,Discrete Mathematics,1453,1
Computer Science,Databases,1311,1
Mathematics,Calculus,556,1
Computer Science,Operating Systems,924,1
Computer Science,Operating Systems,75,1
Computer Science,Databases,100,0
Computer Science,Operating Systems,1212,1
Mathematics,Calculus,481,0
Physics,Electromagnetism,1172,0
Computer Science,Operating Systems,807,1
Computer Science,Operating Systems,6,0
Mathematics,Discrete Mathematics,624,1
Physics,Electromagnetism,934,1
Mathematics,Discrete Mathematics,85,1
Mathematics,Calculus,1011,1
Computer Science,Databases,709,1
Computer Science,Operating Systems,567,0
Physics,Quantum,880,1
Computer Science,Databases,1499,1
Computer Science,Databases,1172,1
Mathematics,Calculus,639,1
Mathematics,Calculus,450,1
Computer Science,Databases,612,1
Computer Science,Operating Systems,765,1
Mathematics,Calculus,40,1
Physics,Mechanics,1176,0
Physics,Mechanics,739,1
Physics,Electromagnetism,1371,1
Computer Science,Databases,773,0
Computer Science,Databases,720,0
Mathematics,Discrete Mathematics,960,1
Computer Science,Databases,186,1
Mathematics,Discrete Mathematics,425,1
Mathematics,Calculus,1070,1
Physics,Quantum,596,0
Physics,Electromagnetism,315,0
Physics,Electromagnetism,779,1
Computer Science,Databases,1093,1
Mathematics,Discrete Mathematics,1034,1
Physics,Electromagnetism,1045,0
Mathematics,Calculus,333,1
Mathematics,Calculus,1180,1
Computer Science,Databases,822,1
Physics,Quantum,1106,0
Physics,Quantum,1282,1
Physics,Mechanics,157,1
Computer Science,Operating Systems,85,0
Physics,Electromagnetism,248,1
Physics,Electromagnetism,82,0
Mathematics,Calculus,1155,1
Physics,Electromagnetism,1445,0
Computer Science,Operating Systems,78,0
