,attrition,age,income,overtime
350,0,30,5174,1
351,0,28,6636,0
352,1,39,3803,0
353,0,44,4946,0
354,0,25,5193,1
355,1,39,3457,1
356,0,26,5415,1
357,1,27,4229,0
358,1,40,3387,1
359,0,59,5075,1
360,1,27,3888,1
361,1,36,6609,1
362,0,52,2817,0
363,1,28,2034,1
364,0,30,5462,0
365,1,33,4054,1
366,0,36,6220,1
367,1,51,6677,1
368,0,46,5896,0
369,0,30,5534,1
370,0,50,5395,0
371,0,29,4571,1
372,1,36,6164,1
373,1,35,5410,1
374,1,50,4402,0
375,1,37,4416,0
376,0,38,4310,0
377,1,48,6063,1
378,1,59,2708,0
379,0,42,6186,1
380,0,50,6745,0
381,1,44,5728,0
382,1,31,3294,1
383,1,56,2067,0
384,0,46,5121,1
385,1,42,3940,1
386,1,47,2004,0
387,1,37,2809,0
388,1,45,4962,0
389,1,25,2031,0
390,0,25,6129,0
391,0,57,6445,1
392,1,28,3865,0
393,1,34,3952,1
394,1,28,3826,0
395,1,26,4785,0
396,1,36,3908,0
397,1,52,4549,0
398,1,52,6056,1
399,1,37,2668,0
400,1,54,2033,1
401,1,55,2668,1
402,1,38,2952,0
403,1,28,2585,1
404,0,43,5842,0
405,1,49,2506,0
406,0,54,6999,1
407,1,45,2943,1
408,1,45,2266,1
409,1,41,4163,1
410,1,29,3176,0
411,0,46,6014,0
412,0,39,6920,0
413,0,34,6864,1
414,1,50,6114,0
415,1,51,2945,1
416,0,45,6409,1
417,0,54,6134,1
418,1,31,3423,1
419,0,54,4816,1
420,1,56,2725,0
421,0,28,6309,0
422,0,35,6346,1
423,1,43,3806,1
424,1,47,5168,0
425,1,53,3093,1
426,0,50,6058,1
427,1,46,2556,1
428,1,59,2852,1
429,0,54,4286,0
430,1,32,3720,0
431,1,54,2705,0
432,1,52,3230,1
433,0,33,5858,0
434,1,35,2484,0
435,0,42,6746,1
436,0,58,5117,1
437,1,45,6603,0
438,1,48,3069,0
439,1,44,2944,1
440,1,50,5506,1
441,1,34,3409,1
442,1,47,3687,1
443,0,48,5610,0
444,0,51,5200,0
445,1,32,3698,0
446,1,43,2857,1
447,0,42,6036,1
448,0,35,5009,1
449,1,56,2714,1
450,0,37,6240,0
451,0,34,6685,1
452,1,56,2802,0
453,0,53,6369,1
454,1,50,4393,0
455,0,47,5179,1
456,1,40,3800,1
457,0,53,6875,0
458,1,37,3462,1
459,1,26,2499,1
460,1,49,4240,0
461,0,46,4261,0
462,1,28,5503,0
463,0,57,6993,1
464,1,58,3663,0
465,1,31,2624,0
466,0,50,4631,0
467,0,40,6419,1
468,1,28,5336,1
469,0,30,4625,1
470,1,34,3834,1
471,1,39,2071,1
472,0,30,5566,0
473,1,27,3104,0
474,0,57,6481,1
475,1,41,4523,0
476,0,39,4352,0
477,1,45,3907,0
478,0,29,5474,0
479,1,29,5147,1
480,0,40,5795,0
481,1,52,3483,1
482,1,29,5958,0
483,0,53,5995,0
484,1,29,2318,0
485,0,52,4450,0
486,1,43,4993,0
487,1,47,2283,0
488,0,27,6818,1
489,1,41,2695,1
490,0,26,6537,0
491,1,27,2236,1
492,1,34,2782,0
493,1,37,5387,0
494,1,42,2533,1
495,0,57,6059,1
496,1,54,3065,0
497,1,29,2431,0
498,0,43,5853,1
499,0,43,6363,1
500,0,49,4244,1
501,0,45,5069,1
502,1,59,2780,0
503,1,36,3165,1
504,0,34,6607,1
505,0,50,5774,1
506,0,28,6483,0
507,1,54,4560,0
508,1,40,4179,1
509,1,27,2345,0
510,1,43,3761,1
511,1,27,4878,0
512,0,43,4834,0
513,1,57,5022,0
514,1,45,4655,1
515,0,47,5625,1
516,1,31,2941,1
517,1,42,2684,0
518,0,27,5736,0
519,1,27,5728,0
520,1,49,2488,1
521,1,30,4653,0
522,1,56,2577,0
523,0,56,6777,0
524,1,29,5952,0
525,1,34,2588,0
526,0,37,4713,1
527,1,26,2795,1
528,0,39,5521,0
529,0,26,3946,1
530,1,42,3269,0
531,0,45,4254,0
532,1,40,4564,1
533,0,53,6591,0
534,1,49,3523,0
535,1,52,4284,0
536,0,25,5749,0
537,1,38,5448,1
538,1,46,4335,0
539,0,48,6267,1
540,1,31,4289,1
541,1,25,2254,1
542,1,38,2856,0
543,1,38,5193,0
544,1,56,2588,0
545,1,31,2226,1
546,1,36,2453,1
547,1,50,4641,1
548,1,57,5628,1
549,0,43,6658,1
550,1,32,5562,0
551,1,29,2549,1
552,1,45,5963,1
553,0,48,5709,0
554,0,33,5803,1
555,1,59,2524,1
556,1,31,3208,0
557,1,29,3163,0
558,1,47,2889,0
559,1,38,2124,0
560,1,40,5473,0
561,0,43,5361,0
562,0,26,5097,0
563,0,37,6747,1
564,1,44,3649,0
565,1,26,4767,0
566,0,31,6934,1
567,0,39,6795,0
568,1,46,3503,0
569,0,38,4473,1
570,1,31,2763,0
571,1,55,2798,0
572,1,40,3500,0
573,1,41,3245,0
574,1,49,3897,1
575,0,43,6645,0
576,0,38,5357,1
577,1,55,4503,1
578,1,40,4572,1
579,1,54,2782,0
580,0,38,5114,0
581,1,26,3840,0
582,1,37,2647,1
583,0,59,5416,0
584,0,32,4928,1
585,0,59,3957,0
586,1,39,4123,0
587,1,47,2514,0
588,1,35,3377,0
589,1,35,2375,1
590,0,25,5985,0
591,1,48,3876,1
592,1,58,4648,1
593,1,50,5515,0
594,0,38,4385,1
595,1,33,3552,1
596,1,44,2195,1
597,1,27,3286,0
598,1,51,3448,1
599,1,40,3571,0
600,1,54,3578,1
601,1,52,3312,0
602,1,25,4738,1
603,0,29,5606,1
604,1,58,4369,0
605,0,25,4652,1
606,1,28,5494,0
607,1,40,4650,1
608,0,43,5912,0
609,1,53,2973,1
610,1,34,6072,1
611,1,34,2940,0
612,0,40,6098,0
613,0,31,5269,0
614,0,58,5845,1
615,1,50,3649,1
616,1,26,4803,0
617,0,52,5096,1
618,1,56,4083,0
619,0,59,4718,0
620,1,45,2945,1
621,0,40,5153,0
622,1,59,6069,1
623,1,31,5971,0
624,1,59,2961,0
625,1,28,4783,0
626,1,43,4456,0
627,0,42,6106,0
628,1,54,4310,0
629,1,56,2328,1
630,1,37,2852,0
631,1,54,2735,0
632,1,48,6053,1
633,0,56,3936,1
634,1,37,4645,1
635,0,42,6935,1
636,1,44,4075,0
637,1,36,2997,0
638,0,51,4017,1
639,1,42,3749,1
640,0,43,6497,1
641,1,26,2890,0
642,1,33,6187,1
643,0,42,6804,1
644,1,26,3956,0
645,0,39,4042,1
646,0,44,4597,1
647,0,46,6093,0
648,1,57,4640,0
649,1,36,4167,0
650,1,42,2056,1
651,0,33,5751,1
652,0,45,3446,0
653,1,50,3455,0
654,1,28,2753,0
655,0,48,6951,1
656,1,58,2242,1
657,1,44,2134,1
658,0,40,6222,1
659,1,25,3201,1
660,0,51,3706,0
661,1,42,3749,0
662,1,41,3008,0
663,0,36,6825,0
664,1,53,2207,1
665,1,58,3384,0
666,0,30,6650,1
667,0,55,5060,0
668,0,30,5516,1
669,1,43,3835,1
670,1,42,2380,1
671,0,59,5603,0
672,1,56,2538,0
673,0,35,6836,1
674,1,40,2011,0
675,1,37,6082,0
676,0,42,5047,1
677,0,27,6881,0
678,0,59,5261,1
679,0,58,6886,1
680,0,51,5569,1
681,1,41,2411,1
682,1,29,5847,1
683,1,33,4431,1
684,1,28,3152,1
685,0,44,5255,1
686,1,46,4441,1
687,0,38,5293,1
688,1,50,4625,1
689,1,32,4775,1
690,1,30,4143,0
691,1,42,4585,1
692,0,28,5287,0
693,1,55,4834,1
694,1,44,4808,1
695,1,45,5178,1
696,1,32,3964,1
697,1,54,2596,0
698,0,49,5017,1
699,1,25,4281,0
700,1,59,2444,0
701,1,31,2479,1
702,0,45,6840,0
703,1,58,2035,1
704,1,36,3680,0
705,1,28,2296,0
706,1,59,2517,1
707,1,38,5192,1
708,0,56,6072,0
709,1,46,2754,1
710,1,36,3575,0
711,1,59,6317,1
712,1,40,4795,0
713,0,47,6814,0
714,0,48,3836,0
715,0,25,6953,0
716,1,46,3736,0
717,0,51,6905,1
718,1,26,4809,1
719,0,47,3091,0
720,1,25,2654,0
721,1,45,3005,0
722,1,26,4442,1
723,0,55,6783,0
724,0,39,6636,1
725,1,42,4307,1
726,1,55,5536,0
727,1,53,2692,0
728,0,33,6246,0
729,1,42,2698,1
730,1,43,2242,1
731,1,41,3299,0
732,1,37,2902,1
733,1,26,3725,0
734,0,27,5588,0
735,1,52,3741,1
736,0,37,6289,1
737,1,56,4125,0
738,1,59,2946,1
739,1,50,2548,0
740,0,57,5492,0
741,1,59,3466,1
742,0,32,6395,1
743,1,38,3153,0
744,1,28,3974,0
745,1,56,2676,0
746,1,53,4363,0
747,1,53,4155,1
748,0,42,5617,1
749,0,40,6308,0
750,1,59,2277,0
751,0,39,6535,1
752,1,37,4656,0
753,1,46,4225,1
754,1,38,4298,0
755,0,41,5279,1
756,1,31,4041,1
757,1,30,4245,0
758,1,26,3991,0
759,1,46,4429,0
760,1,49,3597,1
761,1,31,3222,1
762,0,27,5741,1
763,0,30,5929,0
764,0,44,5554,1
765,1,43,3776,1
766,1,29,4562,0
767,1,27,3314,0
768,1,47,3283,1
769,0,32,4018,0
770,1,57,3938,0
771,1,57,4413,1
772,1,58,2696,0
773,0,34,6077,1
774,1,40,2672,1
775,1,25,4639,0
776,1,27,2642,0
777,0,49,6267,1
778,1,27,6581,1
779,0,58,5690,0
780,0,36,6979,1
781,0,32,6293,0
782,1,39,4115,0
783,1,43,2843,1
784,1,55,3414,1
785,1,57,3316,0
786,0,51,6082,1
787,0,41,5745,1
788,1,38,3292,0
789,1,56,4630,1
790,1,49,3912,0
791,0,27,6699,0
792,0,54,4627,1
793,0,45,4073,1
794,1,43,2402,1
795,0,45,4821,1
796,1,30,2191,0
797,1,48,3805,0
798,1,59,3450,0
799,0,40,4812,1
800,1,39,2349,1
801,0,59,4366,0
802,1,46,2237,0
803,1,45,4240,0
804,0,52,5503,1
805,1,55,2052,1
806,1,52,3996,1
807,1,46,2452,0
808,0,43,6729,1
809,0,41,5429,1
810,1,35,3756,0
811,1,28,4292,0
812,0,59,4946,0
813,1,43,6034,1
814,1,43,2109,1
815,1,56,5657,0
816,1,49,3164,1
817,1,41,2816,0
818,0,36,4317,0
819,0,32,6473,0
820,1,50,4343,0
821,1,30,2202,1
822,1,46,5472,0
823,1,45,2909,1
824,1,37,3231,0
825,0,27,5943,1
826,1,26,3486,0
827,1,28,5441,1
828,1,52,5680,0
829,1,38,3185,0
830,1,57,3428,0
831,1,47,2613,0
832,1,56,2984,1
833,0,43,6280,1
834,1,33,3942,0
835,1,38,3200,0
836,0,27,5209,1
837,0,56,6768,1
838,1,49,2523,0
839,1,50,3956,0
840,0,27,5489,0
841,1,49,3909,0
842,0,56,4694,1
843,1,29,5051,1
844,1,48,3067,1
845,1,52,3273,1
846,1,51,2247,0
847,1,25,5185,0
848,0,48,5343,0
849,1,28,2924,1
850,1,49,2453,1
851,1,30,2476,0
852,1,43,2213,1
853,0,29,6703,0
854,1,40,2866,0
855,0,35,2876,1
856,1,32,3703,1
857,1,55,2325,0
858,1,33,3177,1
859,1,41,2939,1
860,1,34,5776,0
861,1,28,4315,0
862,0,49,4836,0
863,1,44,4769,0
864,0,47,6449,0
865,1,54,2848,0
866,1,54,4280,0
867,1,29,2420,1
868,1,53,2963,0
869,0,35,6125,1
870,1,40,2962,1
871,1,47,3072,1
872,0,38,4653,1
873,1,41,5325,1
874,1,40,3412,1
875,1,41,4334,0
876,1,54,2485,0
877,1,53,4476,1
878,0,31,5529,1
879,0,39,5736,0
880,1,37,2339,1
881,0,50,3551,1
882,0,32,6051,0
883,1,39,2392,1
884,1,57,3935,1
885,0,37,5269,0
886,1,28,6973,0
887,1,31,4567,0
888,0,46,5601,1
889,0,50,6143,0
890,1,35,2009,0
891,0,52,6708,1
892,0,41,5694,1
893,0,46,6001,1
894,1,43,2246,1
895,0,42,5056,1
896,1,53,4756,1
897,0,51,6561,1
898,0,47,5675,0
899,0,43,6266,0
900,1,33,4033,0
901,0,46,5978,0
902,1,44,4487,0
903,0,52,6282,1
904,0,26,6881,1
905,0,46,5670,1
906,1,53,2369,1
907,0,42,5160,1
908,1,55,5058,0
909,1,51,3192,1
910,1,51,2313,1
911,1,57,2763,0
912,0,57,5665,0
913,0,38,6367,0
914,0,36,6473,1
915,0,47,6061,0
916,1,55,2096,0
917,1,49,4500,1
918,0,46,5759,0
919,1,31,4901,1
920,0,47,3379,1
921,0,35,3992,1
922,1,56,4169,1
923,1,46,4478,1
924,1,44,2078,0
925,0,45,4538,1
926,1,45,3811,1
927,1,28,3267,0
928,1,30,3055,0
929,1,36,3248,1
930,1,26,5526,1
931,1,32,6159,0
932,0,44,6718,0
933,1,50,4609,0
934,0,37,6891,1
935,1,49,4099,0
936,0,29,6476,0
937,1,54,3037,1
938,0,30,5892,1
939,1,48,4887,1
940,0,27,6848,0
941,1,27,4536,0
942,1,51,5543,0
943,1,40,3961,1
944,1,54,4988,0
945,1,40,2253,1
946,0,57,6542,1
947,0,29,6181,0
948,0,27,6307,0
949,1,59,6001,0
950,1,29,4138,0
951,1,39,4980,1
952,1,47,3833,1
953,1,48,4048,1
954,0,36,4012,1
955,0,27,6474,1
956,1,46,4709,0
957,1,29,2176,1
958,1,47,3143,0
959,1,44,4557,0
960,1,51,3990,1
961,0,53,5034,1
962,1,44,4111,1
963,0,30,6848,0
964,1,31,2824,1
965,0,57,5742,0
966,1,27,4028,1
967,0,50,6322,1
968,1,44,2169,1
969,1,41,3692,1
970,1,58,5265,1
971,1,48,2909,0
972,1,54,2845,0
973,1,58,5117,0
974,1,39,5654,1
975,0,39,4297,0
976,1,54,2241,1
977,1,53,4147,0
978,1,57,3157,0
979,1,25,3490,1
980,0,29,5757,0
981,1,55,3722,0
982,0,49,5955,0
983,1,25,2832,0
984,0,39,6895,1
985,1,58,3169,1
986,1,39,2846,1
987,0,59,5804,0
988,1,51,2271,0
989,1,33,2775,1
990,1,32,3474,0
991,0,52,4836,0
992,1,50,5487,0
993,0,50,3798,1
994,1,48,4802,0
995,1,29,3295,0
996,0,48,6759,1
997,1,56,3657,1
998,1,29,3067,1
999,1,32,4628,0
1000,0,39,6600,0
1001,0,35,6848,0
1002,1,39,3689,0
1003,0,50,3831,0
1004,0,46,5962,1
1005,0,26,4622,0
1006,1,27,2207,1
1007,0,45,5927,0
1008,1,51,3216,1
1009,1,49,2379,1
1010,1,46,5167,0
1011,1,42,5197,0
1012,1,48,3530,1
1013,1,58,2478,0
1014,0,42,6739,0
1015,0,38,4415,1
1016,0,50,6550,0
1017,0,31,6093,1
1018,1,52,5592,1
1019,0,55,6894,0
1020,1,38,2892,1
1021,0,43,5020,1
1022,1,43,4137,0
1023,0,49,5400,1
1024,1,34,5364,0
1025,1,59,3013,0
1026,0,37,6116,1
1027,1,28,2052,1
1028,1,27,4508,1
1029,0,31,6418,1
1030,0,33,5566,1
1031,1,31,4336,1
1032,0,31,6095,0
1033,1,46,4594,1
1034,1,29,2047,1
1035,1,47,6267,0
1036,1,33,2105,1
1037,0,54,5827,1
1038,1,35,6021,1
1039,1,28,2196,1
1040,1,57,4077,1
1041,1,29,2253,1
1042,0,48,3319,0
1043,0,36,4920,1
1044,0,36,6540,1
1045,0,35,5911,1
1046,0,37,5300,1
1047,1,57,4957,0
1048,1,44,4950,0
1049,1,27,4953,0
1050,0,49,6129,1
1051,1,50,2208,1
1052,1,26,2752,1
1053,1,55,3848,1
1054,1,25,3688,0
1055,0,53,5688,1
1056,0,32,5470,0
1057,1,36,4055,0
1058,1,40,5408,1
1059,1,41,4987,0
1060,0,52,5341,1
1061,0,52,6539,1
1062,1,51,3751,0
1063,1,56,3072,0
1064,0,58,5440,0
1065,1,34,2965,0
1066,0,42,5290,0
1067,0,32,3780,0
1068,1,50,5702,0
1069,0,57,6591,0
1070,0,33,5082,0
1071,0,30,5488,0
1072,1,55,2641,0
1073,1,48,5519,0
1074,1,40,3832,1
1075,1,28,5271,1
1076,0,36,5868,1
1077,1,40,5085,1
1078,1,59,2664,0
1079,0,44,5464,0
1080,1,36,3493,0
1081,1,40,2107,0
1082,1,35,3958,1
1083,0,45,4587,0
1084,1,46,2578,1
1085,1,56,4070,0
1086,0,57,6026,1
1087,1,39,2802,1
1088,0,55,5916,0
1089,0,51,6627,0
1090,0,45,6896,1
1091,1,57,3673,1
1092,1,30,4564,1
1093,1,33,3023,1
1094,1,33,3738,1
1095,1,48,2420,0
1096,0,46,6169,1
1097,0,33,6118,1
1098,0,35,6212,1
1099,1,29,2190,0
1100,0,47,5028,0
1101,0,29,6436,0
1102,0,31,6096,0
1103,1,34,3177,0
1104,1,43,3585,0
1105,1,31,3655,1
1106,0,39,6982,1
1107,0,55,6403,1
1108,0,47,6618,1
1109,0,46,5858,1
1110,1,43,5119,1
1111,0,59,6220,0
1112,1,54,4722,0
1113,1,52,3909,1
1114,1,41,2299,0
1115,0,52,6122,0
1116,1,52,3156,1
1117,1,47,3889,1
1118,1,32,3811,1
1119,0,53,6742,1
1120,0,53,6114,1
1121,0,38,2875,0
1122,1,25,3493,0
1123,1,53,5356,0
1124,1,33,2444,1
1125,0,55,6139,1
1126,0,35,6046,1
1127,1,57,2859,1
1128,1,25,6266,1
1129,0,50,6076,1
1130,0,25,5516,0
1131,0,25,5825,0
1132,1,30,2559,0
1133,1,59,5275,0
1134,0,32,5935,0
1135,1,37,5326,0
1136,0,33,5932,1
1137,1,41,5390,1
1138,1,51,4624,1
1139,1,25,2329,1
1140,0,38,4177,0
1141,0,33,6128,0
1142,1,57,2264,1
1143,1,35,4362,0
1144,1,53,2755,0
1145,1,39,6973,0
1146,0,25,5535,0
1147,0,43,6186,0
1148,1,28,5804,1
1149,1,26,4904,0
1150,0,48,6833,0
1151,1,41,4111,0
1152,0,50,5140,0
1153,1,47,2355,0
1154,0,57,6459,1
1155,1,40,3541,0
1156,1,53,2140,0
1157,1,44,2968,1
1158,1,47,3292,0
1159,1,25,2546,1
1160,1,26,4366,1
1161,0,48,4938,0
1162,1,25,4507,1
1163,0,55,5938,1
1164,1,41,2666,0
1165,0,32,6250,1
1166,1,55,4856,1
1167,1,51,2153,0
1168,0,47,4421,1
1169,1,46,2521,0
1170,0,52,6607,0
1171,0,47,6652,1
1172,1,32,2882,1
1173,1,48,4126,0
1174,1,28,2800,1
1175,0,50,4769,1
1176,1,58,2443,0
1177,1,26,2870,1
1178,1,40,3313,1
1179,1,33,2137,0
1180,0,32,6169,0
1181,0,25,4721,1
1182,0,49,5337,1
1183,0,30,5508,1
1184,0,52,6824,0
1185,1,47,5508,1
1186,0,54,6228,1
1187,0,53,6552,1
1188,1,29,3480,1
1189,1,34,4433,1
1190,1,38,2954,1
1191,0,46,6786,1
1192,1,34,2576,1
1193,0,43,5442,1
1194,1,37,2530,0
1195,0,40,5484,1
1196,0,41,6821,0
1197,1,36,3876,1
1198,0,47,4670,0
1199,1,56,3829,1
1200,0,42,4548,0
1201,0,38,6990,0
1202,0,56,6605,0
1203,0,49,6884,0
1204,1,57,2366,0
1205,0,46,3193,1
1206,0,52,5872,0
1207,1,26,4396,1
1208,1,35,3351,1
1209,0,25,6261,1
1210,1,25,2164,1
1211,1,27,2593,0
1212,1,32,3281,1
1213,0,26,5193,0
1214,1,57,4233,1
1215,1,42,6941,0
1216,1,54,2818,1
1217,1,49,3145,0
1218,1,37,3352,1
1219,1,28,3498,0
1220,0,32,5647,1
1221,1,45,5331,0
1222,0,41,6029,0
1223,1,26,4053,1
1224,1,41,3641,1
1225,1,32,4149,1
1226,1,29,3125,1
1227,1,35,4529,0
1228,1,51,3194,0
1229,1,53,5199,0
1230,1,55,3211,0
1231,1,54,3261,1
1232,1,37,3142,0
1233,0,35,5807,0
1234,1,30,3170,1
1235,1,32,6063,1
1236,0,54,6928,0
1237,1,43,3390,0
1238,0,56,5856,1
1239,0,36,6997,0
1240,1,53,2612,0
1241,0,50,6936,0
1242,1,58,2151,0
1243,1,58,3431,1
1244,1,49,2613,1
1245,0,47,5452,0
1246,1,56,3808,1
