시도교육청,지역교육청,지역,정보공시 학교코드,학교명,학교급코드,설립구분,제외여부,제외사유,1학년 전입학생수,1학년 전출학생수,1학년 전체학생수,2학년 전입학생수,2학년 전출학생수,2학년 전체학생수,3학년 전입학생수,3학년 전출학생수,3학년 전체학생수,4학년 전입학생수,4학년 전출학생수,4학년 전체학생수,5학년 전입학생수,5학년 전출학생수,5학년 전체학생수,6학년 전입학생수,6학년 전출학생수,6학년 전체 학생수,전입학생수(계),전출학생수(계),전체학생수(계)
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000752,서울도성초등학교,2,공립,N,,8.0,7.0,231.0,17.0,11.0,278.0,39.0,11.0,310.0,40.0,10.0,328.0,34.0,12.0,393.0,30.0,7.0,348.0,168.0,58.0,1888.0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000753,서울반원초등학교,2,공립,N,,9.0,10.0,193.0,17.0,14.0,212.0,12.0,20.0,223.0,14.0,12.0,226.0,18.0,9.0,253.0,10.0,7.0,254.0,80.0,72.0,1361.0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000754,서울반포초등학교,2,공립,N,,3.0,68.0,114.0,5.0,75.0,102.0,7.0,76.0,116.0,8.0,63.0,124.0,4.0,35.0,172.0,6.0,5.0,136.0,33.0,322.0,764.0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000755,서울방배초등학교,2,공립,N,,3.0,5.0,123.0,6.0,5.0,114.0,12.0,6.0,163.0,10.0,10.0,140.0,14.0,8.0,178.0,11.0,8.0,170.0,56.0,42.0,888.0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000756,서울방일초등학교,2,공립,N,,15.0,6.0,154.0,17.0,10.0,138.0,16.0,11.0,154.0,11.0,8.0,149.0,12.0,8.0,163.0,10.0,6.0,148.0,81.0,49.0,906.0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000757,서울방현초등학교,2,공립,N,,1.0,10.0,33.0,4.0,12.0,44.0,1.0,8.0,52.0,1.0,9.0,50.0,6.0,9.0,52.0,4.0,6.0,63.0,17.0,54.0,294.0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000758,서울봉은초등학교,2,공립,N,,5.0,3.0,78.0,3.0,9.0,94.0,8.0,7.0,82.0,8.0,5.0,77.0,6.0,5.0,84.0,5.0,2.0,91.0,35.0,31.0,506.0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000759,서울삼릉초등학교,2,공립,N,,5.0,7.0,91.0,6.0,7.0,86.0,8.0,9.0,111.0,7.0,3.0,101.0,3.0,4.0,82.0,7.0,4.0,103.0,36.0,34.0,574.0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000760,서울서래초등학교,2,공립,N,,4.0,9.0,209.0,17.0,15.0,214.0,14.0,17.0,266.0,17.0,12.0,242.0,19.0,13.0,227.0,19.0,8.0,220.0,90.0,74.0,1378.0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000761,서울서원초등학교,2,공립,N,,26.0,4.0,225.0,37.0,18.0,247.0,38.0,17.0,244.0,39.0,11.0,215.0,26.0,13.0,201.0,27.0,4.0,214.0,193.0,67.0,1346.0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000762,서울서이초등학교,2,공립,N,,36.0,8.0,214.0,47.0,10.0,178.0,64.0,10.0,215.0,54.0,9.0,186.0,46.0,6.0,189.0,36.0,4.0,171.0,283.0,47.0,1153.0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000763,서울서일초등학교,2,공립,N,,4.0,3.0,92.0,7.0,12.0,80.0,8.0,5.0,89.0,11.0,8.0,89.0,3.0,7.0,112.0,10.0,5.0,96.0,43.0,40.0,558.0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000764,서울서초초등학교,2,공립,N,,12.0,5.0,158.0,5.0,8.0,181.0,16.0,13.0,177.0,8.0,11.0,202.0,10.0,11.0,183.0,6.0,4.0,173.0,57.0,52.0,1074.0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000765,서울수서초등학교,2,공립,N,,1.0,5.0,21.0,3.0,2.0,27.0,3.0,2.0,20.0,2.0,4.0,33.0,3.0,7.0,25.0,0.0,0.0,24.0,12.0,20.0,150.0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000766,서울신구초등학교,2,공립,N,,2.0,3.0,69.0,6.0,9.0,84.0,3.0,5.0,88.0,1.0,8.0,70.0,4.0,3.0,93.0,5.0,3.0,93.0,21.0,31.0,497.0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000767,서울신동초등학교,2,공립,N,,3.0,5.0,185.0,11.0,14.0,205.0,18.0,11.0,225.0,18.0,9.0,241.0,15.0,10.0,255.0,8.0,15.0,254.0,73.0,64.0,1365.0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000768,서울신중초등학교,2,공립,N,,6.0,8.0,139.0,11.0,10.0,139.0,16.0,12.0,168.0,10.0,14.0,139.0,20.0,7.0,174.0,21.0,8.0,172.0,84.0,59.0,931.0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000769,서울압구정초등학교,2,공립,N,,7.0,8.0,144.0,7.0,11.0,128.0,11.0,20.0,199.0,6.0,9.0,180.0,12.0,16.0,161.0,6.0,12.0,161.0,49.0,76.0,973.0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000770,서울양재초등학교,2,공립,N,,1.0,8.0,105.0,3.0,8.0,111.0,3.0,11.0,116.0,1.0,7.0,98.0,6.0,6.0,103.0,4.0,5.0,90.0,18.0,45.0,623.0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000771,서울양전초등학교,2,공립,N,,7.0,5.0,87.0,5.0,6.0,97.0,10.0,4.0,101.0,12.0,5.0,96.0,7.0,8.0,82.0,13.0,0.0,100.0,54.0,28.0,563.0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000772,서울언남초등학교,2,공립,N,,6.0,11.0,241.0,9.0,29.0,236.0,10.0,25.0,216.0,4.0,29.0,184.0,7.0,19.0,180.0,5.0,18.0,139.0,41.0,131.0,1196.0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000773,서울언북초등학교,2,공립,N,,10.0,7.0,284.0,21.0,26.0,298.0,24.0,22.0,349.0,20.0,21.0,314.0,12.0,14.0,336.0,15.0,9.0,270.0,102.0,99.0,1851.0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000774,서울언주초등학교,2,공립,N,,11.0,10.0,230.0,17.0,12.0,269.0,18.0,20.0,259.0,19.0,14.0,303.0,26.0,18.0,292.0,18.0,8.0,259.0,109.0,82.0,1612.0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000775,서울역삼초등학교,2,공립,N,,1.0,4.0,68.0,4.0,6.0,61.0,6.0,3.0,56.0,5.0,3.0,58.0,12.0,4.0,54.0,7.0,2.0,65.0,35.0,22.0,362.0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000776,서울영희초등학교,2,공립,N,,0.0,3.0,45.0,3.0,4.0,55.0,5.0,4.0,47.0,6.0,1.0,65.0,6.0,2.0,51.0,4.0,2.0,73.0,24.0,16.0,336.0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000777,서울왕북초등학교,2,공립,N,,6.0,5.0,125.0,9.0,10.0,149.0,11.0,10.0,159.0,3.0,8.0,133.0,15.0,10.0,163.0,9.0,5.0,128.0,53.0,48.0,857.0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000778,서울우암초등학교,2,공립,N,,0.0,2.0,41.0,3.0,3.0,44.0,5.0,5.0,52.0,1.0,4.0,47.0,2.0,11.0,68.0,1.0,1.0,48.0,12.0,26.0,300.0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000779,서울원명초등학교,2,공립,N,,10.0,6.0,204.0,15.0,14.0,212.0,14.0,16.0,216.0,13.0,8.0,197.0,14.0,18.0,266.0,7.0,5.0,204.0,73.0,67.0,1299.0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000780,서울원촌초등학교,2,공립,N,,11.0,6.0,175.0,13.0,9.0,170.0,7.0,13.0,211.0,21.0,18.0,189.0,4.0,9.0,173.0,6.0,15.0,211.0,62.0,70.0,1129.0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000781,서울이수초등학교,2,공립,N,,2.0,6.0,87.0,8.0,5.0,94.0,5.0,6.0,81.0,9.0,7.0,112.0,5.0,7.0,102.0,6.0,4.0,108.0,35.0,35.0,584.0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000782,서울일원초등학교,2,공립,N,,72.0,1.0,77.0,99.0,6.0,103.0,109.0,3.0,97.0,103.0,6.0,89.0,104.0,2.0,94.0,78.0,4.0,100.0,565.0,22.0,560.0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000783,서울잠원초등학교,2,공립,N,,47.0,8.0,201.0,61.0,12.0,211.0,64.0,10.0,247.0,53.0,13.0,237.0,19.0,11.0,264.0,8.0,9.0,245.0,252.0,63.0,1405.0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000784,서울청담초등학교,2,공립,N,,6.0,3.0,87.0,7.0,6.0,88.0,5.0,8.0,73.0,7.0,10.0,69.0,8.0,5.0,93.0,5.0,3.0,90.0,38.0,35.0,500.0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000785,서울포이초등학교,2,공립,N,,0.0,3.0,89.0,8.0,6.0,84.0,14.0,8.0,80.0,16.0,6.0,80.0,12.0,5.0,82.0,5.0,0.0,84.0,55.0,28.0,499.0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000786,서울학동초등학교,2,공립,N,,3.0,8.0,90.0,7.0,3.0,77.0,5.0,4.0,84.0,6.0,7.0,75.0,4.0,8.0,85.0,6.0,3.0,77.0,31.0,33.0,488.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,S010000897,서울가동초등학교,2,공립,N,,6.0,7.0,135.0,7.0,10.0,134.0,13.0,13.0,154.0,9.0,11.0,157.0,9.0,13.0,166.0,9.0,13.0,149.0,53.0,67.0,895.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,S010000898,서울가락초등학교,2,공립,N,,6.0,6.0,202.0,18.0,20.0,202.0,11.0,25.0,222.0,20.0,15.0,167.0,16.0,14.0,148.0,13.0,11.0,130.0,84.0,91.0,1071.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,S010000899,서울가원초등학교,2,공립,N,,2.0,2.0,116.0,4.0,6.0,124.0,2.0,6.0,98.0,7.0,6.0,115.0,7.0,10.0,104.0,4.0,2.0,96.0,26.0,32.0,653.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,S010000900,서울가주초등학교,2,공립,N,,2.0,6.0,138.0,8.0,8.0,117.0,8.0,16.0,161.0,5.0,6.0,131.0,7.0,9.0,153.0,2.0,6.0,145.0,32.0,51.0,845.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,S010000901,서울강덕초등학교,2,공립,N,,12.0,19.0,207.0,9.0,16.0,216.0,13.0,20.0,192.0,16.0,16.0,163.0,12.0,14.0,179.0,5.0,5.0,118.0,67.0,90.0,1075.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,S010000902,서울강동초등학교,2,공립,N,,2.0,6.0,73.0,4.0,7.0,83.0,5.0,17.0,100.0,3.0,14.0,105.0,3.0,10.0,95.0,3.0,8.0,95.0,20.0,62.0,551.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,S010000903,서울강일초등학교,2,공립,N,,5.0,8.0,95.0,6.0,14.0,115.0,15.0,18.0,141.0,8.0,21.0,128.0,11.0,22.0,155.0,2.0,12.0,142.0,47.0,95.0,776.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,S010000904,서울거여초등학교,2,공립,N,,2.0,5.0,95.0,7.0,10.0,111.0,3.0,9.0,118.0,9.0,7.0,120.0,6.0,7.0,101.0,2.0,4.0,99.0,29.0,42.0,644.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,S010000905,서울거원초등학교,2,공립,N,,49.0,5.0,148.0,57.0,6.0,125.0,64.0,13.0,133.0,64.0,8.0,152.0,58.0,5.0,124.0,40.0,6.0,117.0,332.0,43.0,799.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,S010000906,서울고덕초등학교,2,공립,N,,3.0,8.0,82.0,4.0,0.0,52.0,5.0,3.0,64.0,7.0,4.0,51.0,3.0,5.0,59.0,6.0,1.0,54.0,28.0,21.0,362.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,S010000907,서울고명초등학교,2,공립,N,,8.0,2.0,143.0,11.0,8.0,127.0,15.0,12.0,110.0,14.0,9.0,110.0,9.0,6.0,104.0,10.0,2.0,118.0,67.0,39.0,712.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,S010000908,서울고일초등학교,2,공립,N,,19.0,4.0,344.0,89.0,10.0,281.0,101.0,13.0,277.0,71.0,9.0,243.0,68.0,5.0,212.0,80.0,1.0,236.0,428.0,42.0,1593.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,S010000909,서울길동초등학교,2,공립,N,,6.0,2.0,144.0,5.0,9.0,113.0,16.0,10.0,154.0,8.0,13.0,135.0,14.0,11.0,132.0,7.0,3.0,131.0,56.0,48.0,809.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,S010000910,서울남천초등학교,2,공립,N,,1.0,3.0,59.0,3.0,7.0,60.0,3.0,13.0,71.0,1.0,9.0,71.0,3.0,8.0,76.0,2.0,4.0,69.0,13.0,44.0,406.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,S010000911,서울대명초등학교,2,공립,N,,2.0,5.0,119.0,9.0,11.0,122.0,17.0,11.0,136.0,10.0,5.0,129.0,12.0,5.0,157.0,15.0,2.0,127.0,65.0,39.0,790.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,S010000913,서울마천초등학교,2,공립,N,,3.0,8.0,108.0,3.0,15.0,128.0,3.0,13.0,152.0,6.0,9.0,182.0,4.0,11.0,162.0,1.0,8.0,151.0,20.0,64.0,883.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,S010000914,서울명덕초등학교,2,공립,N,,11.0,13.0,350.0,19.0,26.0,299.0,23.0,32.0,323.0,25.0,28.0,309.0,21.0,23.0,288.0,20.0,16.0,279.0,119.0,138.0,1848.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,S010000915,서울명원초등학교,2,공립,N,,10.0,3.0,108.0,11.0,8.0,115.0,14.0,2.0,153.0,17.0,7.0,131.0,20.0,5.0,158.0,10.0,2.0,141.0,82.0,27.0,806.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,S010000916,서울명일초등학교,2,공립,N,,4.0,6.0,180.0,9.0,19.0,161.0,13.0,18.0,188.0,9.0,20.0,176.0,9.0,20.0,170.0,9.0,11.0,157.0,53.0,94.0,1032.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,S010000917,서울묘곡초등학교,2,공립,N,,9.0,10.0,257.0,13.0,23.0,253.0,29.0,32.0,273.0,34.0,32.0,278.0,23.0,30.0,290.0,28.0,23.0,247.0,136.0,150.0,1598.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,S010000918,서울문덕초등학교,2,공립,N,,3.0,9.0,103.0,4.0,11.0,118.0,3.0,6.0,80.0,3.0,10.0,100.0,3.0,18.0,104.0,5.0,7.0,91.0,21.0,61.0,596.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,S010000919,서울문정초등학교,2,공립,N,,1.0,5.0,100.0,8.0,13.0,116.0,12.0,7.0,141.0,6.0,5.0,134.0,10.0,8.0,123.0,5.0,1.0,128.0,42.0,39.0,742.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,S010000920,서울방산초등학교,2,공립,N,,2.0,2.0,95.0,7.0,4.0,102.0,11.0,3.0,94.0,13.0,11.0,130.0,7.0,2.0,98.0,8.0,7.0,116.0,48.0,29.0,635.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,S010000921,서울방이초등학교,2,공립,N,,6.0,7.0,100.0,3.0,11.0,75.0,8.0,9.0,96.0,2.0,8.0,97.0,6.0,8.0,99.0,5.0,6.0,96.0,30.0,49.0,563.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,S010000922,서울삼전초등학교,2,공립,N,,3.0,5.0,136.0,6.0,13.0,115.0,7.0,16.0,147.0,6.0,6.0,134.0,5.0,17.0,158.0,2.0,12.0,117.0,29.0,69.0,807.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,S010000923,서울상일초등학교,2,공립,N,,1.0,3.0,27.0,1.0,3.0,19.0,2.0,5.0,31.0,5.0,3.0,32.0,9.0,1.0,45.0,2.0,2.0,42.0,20.0,17.0,196.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,S010000924,서울석촌초등학교,2,공립,N,,0.0,9.0,126.0,0.0,4.0,114.0,0.0,6.0,137.0,0.0,6.0,137.0,0.0,9.0,138.0,0.0,0.0,121.0,0.0,34.0,773.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,S010000925,서울선린초등학교,2,공립,N,,2.0,8.0,89.0,4.0,15.0,66.0,9.0,15.0,82.0,2.0,9.0,64.0,2.0,18.0,67.0,3.0,11.0,68.0,22.0,76.0,436.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,S010000926,서울선사초등학교,2,공립,N,,0.0,7.0,98.0,1.0,3.0,101.0,4.0,10.0,136.0,3.0,10.0,123.0,9.0,6.0,115.0,7.0,9.0,114.0,24.0,45.0,687.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,S010000927,서울성내초등학교,2,공립,N,,1.0,6.0,149.0,11.0,10.0,133.0,3.0,8.0,146.0,4.0,9.0,147.0,6.0,6.0,126.0,2.0,4.0,154.0,27.0,43.0,855.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,S010000928,서울성일초등학교,2,공립,N,,2.0,17.0,203.0,5.0,14.0,193.0,9.0,17.0,189.0,4.0,13.0,202.0,9.0,19.0,196.0,1.0,10.0,169.0,30.0,90.0,1152.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,S010000929,서울세륜초등학교,2,공립,N,,1.0,3.0,98.0,6.0,6.0,96.0,2.0,5.0,112.0,13.0,6.0,114.0,13.0,3.0,131.0,9.0,3.0,137.0,44.0,26.0,688.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,S010000930,서울송전초등학교,2,공립,N,,3.0,7.0,147.0,6.0,13.0,118.0,10.0,11.0,145.0,8.0,15.0,139.0,8.0,9.0,154.0,6.0,14.0,133.0,41.0,69.0,836.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,S010000931,서울송파초등학교,2,공립,N,,1.0,8.0,101.0,2.0,6.0,99.0,3.0,5.0,91.0,6.0,15.0,102.0,5.0,7.0,112.0,7.0,5.0,107.0,24.0,46.0,612.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,S010000932,서울신가초등학교,2,공립,N,,8.0,9.0,116.0,9.0,7.0,100.0,11.0,19.0,134.0,8.0,13.0,128.0,5.0,12.0,95.0,3.0,5.0,102.0,44.0,65.0,675.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,S010000933,서울신명초등학교,2,공립,N,,0.0,4.0,58.0,0.0,5.0,77.0,9.0,8.0,91.0,2.0,10.0,72.0,2.0,6.0,95.0,2.0,4.0,66.0,15.0,37.0,459.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,S010000934,서울신암초등학교,2,공립,N,,2.0,12.0,132.0,4.0,8.0,110.0,3.0,20.0,154.0,2.0,20.0,127.0,3.0,19.0,109.0,4.0,10.0,119.0,18.0,89.0,751.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,S010000935,서울신천초등학교,2,공립,N,,2.0,4.0,73.0,3.0,10.0,70.0,8.0,10.0,76.0,9.0,10.0,72.0,9.0,6.0,69.0,7.0,4.0,79.0,38.0,44.0,439.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,S010000936,서울아주초등학교,2,공립,N,,2.0,4.0,73.0,5.0,7.0,60.0,5.0,7.0,71.0,4.0,5.0,88.0,6.0,9.0,84.0,7.0,5.0,81.0,29.0,37.0,457.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,S010000937,서울영풍초등학교,2,공립,N,,6.0,3.0,61.0,7.0,5.0,68.0,5.0,6.0,95.0,12.0,2.0,99.0,9.0,9.0,92.0,2.0,4.0,78.0,41.0,29.0,493.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,S010000938,서울오금초등학교,2,공립,N,,5.0,7.0,110.0,8.0,10.0,115.0,4.0,9.0,90.0,16.0,10.0,110.0,3.0,8.0,112.0,4.0,7.0,88.0,40.0,51.0,625.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,S010000939,서울오륜초등학교,2,공립,N,,1.0,4.0,64.0,5.0,5.0,82.0,3.0,7.0,114.0,7.0,5.0,103.0,6.0,4.0,106.0,5.0,7.0,141.0,27.0,32.0,610.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,S010000941,서울잠동초등학교,2,공립,N,,8.0,4.0,118.0,6.0,10.0,147.0,9.0,10.0,135.0,13.0,5.0,139.0,13.0,10.0,144.0,7.0,3.0,148.0,56.0,42.0,831.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,S010000942,서울잠신초등학교,2,공립,N,,9.0,12.0,230.0,20.0,17.0,252.0,23.0,21.0,276.0,16.0,26.0,254.0,23.0,24.0,275.0,16.0,14.0,272.0,107.0,114.0,1559.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,S010000943,서울잠실초등학교,2,공립,N,,6.0,5.0,190.0,13.0,10.0,170.0,10.0,18.0,204.0,10.0,18.0,183.0,12.0,12.0,208.0,5.0,6.0,168.0,56.0,69.0,1123.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,S010000944,서울잠일초등학교,2,공립,N,,1.0,14.0,255.0,0.0,0.0,285.0,0.0,0.0,350.0,0.0,0.0,304.0,0.0,0.0,310.0,0.0,0.0,296.0,1.0,14.0,1800.0
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,S010000945,서울잠전초등학교,2,공립,N,,3.0,7.0,73.0,4.0,6.0,73.0,6.0,6.0,103.0,4.0,5.0,98.0,5.0,7.0,95.0,6.0,10.0,124.0,28.0,41.0,566.0
