id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,price
19591107,30+Day Stay:Designer Sky Beautiful Loft (1000 sf),137522531,Ali,Queens,Flushing,40.7558,-73.80953000000001,Entire home/apt,6,50,2019-05-09,2.27,7,343,150
919491,Park Slope LARGEST (private) SHARE IN PARK SLOPE,4938247,Kevin,Brooklyn,Park Slope,40.67665,-73.97925,Private room,2,163,2019-06-18,2.13,1,163,70
10212685,Maryhills Brownstone in Park Slope,42413378,Hilal & Maryam,Brooklyn,South Slope,40.6641,-73.98036,Entire home/apt,3,180,2019-06-23,4.2,2,263,143
22356845,The BROOKLYN Room with Outdoor Space,7416563,Timo,Brooklyn,Downtown Brooklyn,40.68962,-73.98489000000001,Entire home/apt,4,87,2019-06-16,4.71,1,4,80
14423010,Convenient and Modern Midtown West Apartment,15978364,Kayleen,Manhattan,Hell's Kitchen,40.76395,-73.99006999999999,Private room,2,1,2016-08-08,0.03,1,0,64
25773391,Beautiful Room in Fort Greene,3687035,Abeyu,Brooklyn,Fort Greene,40.68464,-73.97094,Private room,3,9,2019-07-03,0.75,1,7,75
19743941,Spacious Prospect Park Loft Apartment,6042053,Jonathan,Brooklyn,Prospect-Lefferts Gardens,40.66062,-73.96084,Entire home/apt,3,32,2019-06-28,1.37,1,317,200
6584448,Perfect with or w/out kids!,3450556,Ahna,Manhattan,Inwood,40.86719,-73.92679,Entire home/apt,2,0,,,1,0,130
21550302,JFK Comfort.5 Mins from JFK Private Bedroom & Bath,156684502,Nalicia,Queens,Springfield Gardens,40.6611,-73.7683,Private room,1,403,2019-07-06,19.75,3,26,80
3758686,★ Convenience & Comfort Awaits!  ♥️ Your Stay! ★,19242857,O.D.,Brooklyn,Crown Heights,40.67472,-73.93,Entire home/apt,1,82,2019-06-16,1.39,1,280,117
31462754,Private Room in Spacious Apt by Prospect Park,14201257,Jamie,Brooklyn,Flatbush,40.65218,-73.96551,Private room,7,4,2019-07-06,0.92,1,1,40
1578776,Nice private room in Astoria,4645357,Beatrix,Queens,Long Island City,40.75909,-73.93217,Private room,1,165,2019-06-23,2.36,1,361,51
20517554,"*Light & Love* vibrant, historic, sleeps 4",146472361,Jc,Manhattan,Nolita,40.7212,-73.99463,Entire home/apt,5,87,2019-06-23,3.79,1,118,265
15829202,"Single Bed  room in townhouse, near subway",102482048,Susy,Brooklyn,Bushwick,40.68224,-73.90739,Private room,2,106,2019-06-24,3.26,4,349,35
535095,Beautiful bedroom in Prospect Heights,598770,Maite & Javi,Brooklyn,Prospect Heights,40.6744,-73.96558,Private room,7,43,2019-06-29,0.52,1,38,90
3552693,"2 room, by Sutton Place",17885257,David,Manhattan,Midtown,40.75503,-73.96710999999999,Entire home/apt,1,0,,,1,0,180
34207413,Manhattan Chelsea Cozy Single,252604696,Erin,Manhattan,Chelsea,40.75074,-73.9967,Private room,1,0,,,20,359,149
23627589,Garden Apartment,170444830,Pramila,Manhattan,Chelsea,40.75102,-73.99840999999999,Entire home/apt,30,2,2018-03-09,0.12,1,179,500
4517117,BELLA CASA-Pvt Rm-2 beds-Sleeps 4. Near Columbia!!,16480700,Eddie&Vlad,Manhattan,Harlem,40.82014,-73.95433,Private room,2,146,2019-06-10,2.59,7,83,97
31383493,Cozy bedroom in spacious Brooklyn apartment.,166432964,Yasmin,Brooklyn,Bedford-Stuyvesant,40.69216,-73.95714,Private room,14,0,,,1,0,40
30037339,Luxury Living Condo 2 bdr,225620845,Maria,Brooklyn,Sheepshead Bay,40.58496,-73.95739,Entire home/apt,3,4,2019-06-23,0.62,3,360,250
9813364,"1 lg. bedroom, north central park",13275669,Tenzin,Manhattan,Harlem,40.80145,-73.95428000000001,Private room,3,0,,,1,0,60
26352984,Quiet place w/ private bathroom,27355064,Marine,Brooklyn,Crown Heights,40.67508,-73.91788000000001,Private room,1,19,2019-06-24,1.61,1,153,99
25740704,Beautifully Renovated 3BD/2BA ☆ 1 Block to Subway,193151416,Mohammed,Brooklyn,East Flatbush,40.64707,-73.95074,Entire home/apt,2,64,2019-07-06,4.96,1,220,140
55467,Private Garden Apt • New Renovation,260709,Paul,Brooklyn,Williamsburg,40.71625,-73.93845,Entire home/apt,2,253,2019-07-02,3.04,1,125,140
4846877,A Crown Heights Holiday ,6706914,Leanne,Brooklyn,Crown Heights,40.67278,-73.95688,Private room,1,1,2015-01-04,0.02,2,0,65
3575918,The Artist's House (with roof garden!),18007776,Tyler,Brooklyn,Prospect-Lefferts Gardens,40.65698,-73.95761,Private room,14,8,2019-06-09,0.81,4,31,45
35539920,#1 Hotel-Like Private Room King Bed Near JFK,263504959,David,Queens,Woodhaven,40.69158,-73.86578,Private room,1,6,2019-07-06,6.0,8,273,50
34737337,"步行9分钟到法拉盛缅街中心的电梯房,提供免费矿泉水可乐",151810361,Jungyen,Queens,Flushing,40.76187,-73.82169,Private room,1,9,2019-06-28,4.91,6,365,69
33493942,Mid Century modern room  1 minute to Subway,251817531,Kieu,Brooklyn,Bedford-Stuyvesant,40.68913,-73.95639,Private room,2,6,2019-06-23,4.74,4,316,72
33492175,The beautiful room with your own bathroom,175370972,Young,Queens,Flushing,40.7577,-73.83519,Private room,1,13,2019-06-22,4.06,1,36,65
32062843,Cute renovated apartment in the heart of flushing!,91393358,Emma,Queens,Flushing,40.75584,-73.80618,Entire home/apt,2,15,2019-07-05,3.91,1,44,115
8135144,Time Square! 2 Fully Furnished apt!,42959506,Vapee,Manhattan,Hell's Kitchen,40.76127,-73.99181,Entire home/apt,4,55,2019-06-21,1.29,1,261,245
35935180,Room with Two Beds near Flushing and Arthur Ashe Stadium-Breakfast Included!,261007573,Adria Hotel & Conference Center,Queens,Bayside,40.76321,-73.7608,Private room,1,0,,,2,351,100
35915754,Prime Williamsburg Apt with Tons of Natural Light,11403548,Lauren,Brooklyn,Williamsburg,40.714220000000005,-73.95697,Entire home/apt,2,0,,,1,30,110
2833998,Clean apartment at Harlem 125/lenox.,3289988,Emilie,Manhattan,Harlem,40.80925,-73.94226,Private room,5,0,,,1,90,55
1484031,"Private room in cozy Harlem, NY Apt",6228539,Michelle,Manhattan,Harlem,40.80427,-73.95404,Private room,2,15,2019-05-20,0.21,2,326,100
6423521,Private Room w/ access to Terrace,33513998,Mackenzie,Manhattan,Upper West Side,40.77883,-73.97494,Private room,1,7,2016-05-21,0.14,1,0,160
6156319,Bright Studio Perfect for the Wknd!,7775447,Sara,Manhattan,Upper East Side,40.78073,-73.94976,Entire home/apt,1,4,2015-12-07,0.08,1,0,185
6560459,"Chill, Sunny Room Bed-Stuy Bushwick",34313950,Bee,Brooklyn,Bedford-Stuyvesant,40.68584,-73.92294,Private room,1,0,,,1,0,48
30421561,"Ideal UES 1BR w/ Doorman, near Central Park by Blueground",107434423,Blueground,Manhattan,Upper East Side,40.77135,-73.95035,Entire home/apt,30,1,2019-01-11,0.17,232,326,245
34721879,prime central park location - 2 mins to subway,261894786,Ariana,Manhattan,East Harlem,40.79247,-73.94892,Entire home/apt,1,8,2019-06-28,5.11,1,233,109
35253003,Beautiful sunny room in prime location,24027781,Yasmeen,Queens,Long Island City,40.748540000000006,-73.94908000000001,Private room,20,0,,,2,66,75
14108460,AMAZING Entire-Floor Apt in Manhattan Brownstone,21792701,Sean,Manhattan,Washington Heights,40.83604,-73.94067,Entire home/apt,3,0,,,1,0,149
141984,Charming Nolita Apartment!!,630453,Vanessa,Manhattan,Nolita,40.72094,-73.99706,Entire home/apt,3,68,2019-06-10,0.69,1,277,175
30143717,"Bright, modern 2 bedroom oasis middle of Flatiron!",46068130,Laura,Manhattan,Flatiron District,40.7443,-73.99056,Entire home/apt,5,4,2019-06-04,0.54,2,1,225
35569189,Bright & Cozy Studio next to Columbia University,265156761,Demir,Manhattan,Harlem,40.80434,-73.95515,Entire home/apt,3,2,2019-07-07,2.0,1,207,165
485026,Sunny Apt in Brooklyn-Close to Manhattan,2400932,Jackie'S Place,Brooklyn,Gowanus,40.67858,-73.98536999999999,Private room,31,17,2014-06-30,0.2,2,331,125
10524983,Midtown West luxury one bedroom,49380531,Autumn,Manhattan,Hell's Kitchen,40.76696,-73.99139,Private room,1,0,,,1,0,90
8483688,Sunny private room in Brooklyn,9246269,Nick,Brooklyn,Bedford-Stuyvesant,40.69498,-73.94237,Private room,5,0,,,1,0,42
36350871,Spacious brand new room getaway traveler  NYC #4,273354185,Lee & Luffy,Bronx,Castle Hill,40.81539,-73.84669,Private room,2,0,,,7,177,39
13282553,Comfortable Midtown Appartment 2BR,22656176,Gabrielle,Manhattan,Midtown,40.756040000000006,-73.9681,Entire home/apt,1,2,2016-08-28,0.05,1,0,185
11324565,Private Room. Twin Bed. Great Stay!,59070885,Eric Charles,Manhattan,Upper East Side,40.76658,-73.95224,Private room,1,5,2016-04-16,0.12,1,0,39
28270500,REGO PARK HOUSE NEXT TO ALL,67376966,Lucky,Queens,Rego Park,40.73095,-73.85706,Entire home/apt,2,2,2019-05-20,0.76,3,5,268
2679171,"Cozy, close to everything in NY  :)",1091875,Jovana,Queens,Long Island City,40.74627,-73.94666,Private room,2,126,2019-06-29,1.98,1,39,95
23754446,1 bedroom apartment on West 34th street,76104209,Rated,Manhattan,Midtown,40.75015,-73.98651,Entire home/apt,30,0,,,33,365,200
22576120,"Cozy, Glamorous: A Hide-away Seaside Private Room",162430220,Raymond,Queens,College Point,40.77639,-73.84392,Private room,1,0,,,1,0,80
5358354,New BLDG~Balcony~W/D~Prime location,2119276,Host,Manhattan,Hell's Kitchen,40.76685,-73.98644,Entire home/apt,30,20,2019-05-09,0.43,39,320,170
2540173,Elegant Triplex Townhouse,7821383,Gary,Brooklyn,Prospect Heights,40.67454,-73.96803,Entire home/apt,1,24,2017-02-19,0.38,1,0,550
1466081,JFK Jupiter Suites w/ Parking,7853251,Enyinne,Queens,St. Albans,40.6891,-73.7733,Private room,1,190,2019-06-16,2.64,5,359,59
6331598,Stylish Apt in the Heart of BedStuy,32958503,Shatia,Brooklyn,Bedford-Stuyvesant,40.686,-73.93793000000001,Entire home/apt,1,2,2016-09-21,0.04,1,0,90
26788754,Bright clean serene room Bushwick blocks 4rm train,201079770,HyeSuk & Alex,Brooklyn,Bedford-Stuyvesant,40.69414,-73.93292,Private room,20,9,2019-03-29,0.75,4,318,60
15036809,Private bedroom and bath heart of Upper West Side,94975490,Jessica,Manhattan,Upper West Side,40.78766,-73.97414,Private room,2,19,2018-06-19,0.6,1,0,85
16814205,Cozy Room Close to JFK!!,111841534,Malini,Queens,Jamaica,40.67949,-73.79841,Private room,1,392,2019-07-06,13.15,1,71,53
22258326,Gorgeous spacious renovated 1Bed in Hellskitchen!,42304005,Dina,Manhattan,Theater District,40.75957,-73.98798000000001,Entire home/apt,2,18,2019-05-13,0.97,1,72,151
26522949,Cozy Apt in Centrally Located Brooklyn Heights,47151333,Walter,Brooklyn,Brooklyn Heights,40.69174,-73.99283,Entire home/apt,2,4,2018-08-27,0.36,2,11,150
858223,Entire flat west village,4431107,Ally,Manhattan,Chelsea,40.73818,-73.9977,Entire home/apt,2,82,2019-06-08,2.02,3,157,200
21527485,G4Newly Renovat Long Island City Room Private Bath,79105834,Leo,Queens,Long Island City,40.7539,-73.93419,Private room,1,64,2019-06-15,3.21,9,285,55
32540677,Spacious studio with outdoor deck in Hells Kitchen,230165497,Lara,Manhattan,Midtown,40.76607,-73.9826,Entire home/apt,30,1,2019-04-15,0.35,4,327,140
15053143,Gigantic 2-Story Skylight Loft—2 Blocks To Subway,8726843,Adam,Manhattan,East Harlem,40.795770000000005,-73.9362,Entire home/apt,3,85,2019-07-01,2.5,1,175,350
13275792,Luxury Double Room in Williamsburg,35433522,David,Brooklyn,Williamsburg,40.71281,-73.95127,Private room,2,87,2018-08-28,2.31,3,0,59
22496369,Pleasant & Low-priced place  in Manhattan,23719409,Carlina,Manhattan,Harlem,40.82645,-73.94984000000001,Private room,1,41,2019-06-22,2.24,4,132,60
14465415,Forest Hills,88681982,"Nykaz, Llc",Queens,Forest Hills,40.732690000000005,-73.85284,Entire home/apt,2,37,2019-06-21,1.08,1,86,165
4576821,"Charming apt. in Brooklyn, New York",4362140,María,Brooklyn,Bedford-Stuyvesant,40.68798,-73.95678000000001,Entire home/apt,3,11,2015-09-22,0.2,1,0,140
24355153,Rockaway Beach Escape - Beach/City Views,183388833,Welecia,Queens,Rockaway Beach,40.58898,-73.80575999999999,Entire home/apt,2,34,2019-03-24,2.37,1,205,179
18266775,Beautiful Room with Private Entrance by Bushwick!!,99608108,Osa,Brooklyn,Bushwick,40.705490000000005,-73.91526999999999,Private room,2,34,2019-06-23,1.33,3,319,69
31150327,Light and refresh 1-2 bdrm apartment,4770121,Somaya,Manhattan,Harlem,40.82511,-73.94031,Entire home/apt,7,0,,,4,0,100
4998025,Perfect apt in UES,25773982,Yas,Manhattan,Upper East Side,40.77569,-73.95721,Entire home/apt,1,9,2019-05-13,0.24,2,364,150
22099266,Aquamarine Bedroom,119669058,Melissa,Brooklyn,Bedford-Stuyvesant,40.694590000000005,-73.95551,Private room,2,22,2019-06-20,1.64,34,289,65
21490894,BRIGHT SUNNY LOFT,56411266,Colin,Brooklyn,Bedford-Stuyvesant,40.68994,-73.95908,Private room,3,0,,,1,0,60
31692426,Charming 2 Bedroom Brownstone Apartment,237668552,Kim,Brooklyn,Cobble Hill,40.68525,-73.99837,Entire home/apt,2,4,2019-07-07,1.38,2,22,200
32484743,Great Space w/ backyard for Small Events,180008916,Endazsia,Brooklyn,Bedford-Stuyvesant,40.68116,-73.94738000000001,Entire home/apt,1,5,2019-05-19,1.23,2,5,400
8055859,Private Bedroom and Bath in Spacious Duplex,14019268,Seth,Brooklyn,Bushwick,40.69702,-73.93167,Private room,2,67,2019-06-29,1.45,2,353,70
35974123,Downtown NYC - Across From the Freedom Tower!,73986440,Daniel,Manhattan,Financial District,40.71047,-74.00761,Entire home/apt,30,1,2019-07-03,1.0,1,53,150
34088861,Quiet Studio Apartment Near Prospect Park + Subway,44914887,Theo,Brooklyn,Flatbush,40.64692,-73.96696,Entire home/apt,3,5,2019-07-05,5.0,1,51,105
21785426,Brooklyn Home with a Backyard!,5269420,Abigail,Brooklyn,Bedford-Stuyvesant,40.68739,-73.95405,Entire home/apt,2,2,2018-10-27,0.11,1,0,125
6169335,Contemporary Modern Studio,32007353,Vanesa,Queens,Ridgewood,40.70801,-73.9011,Entire home/apt,2,65,2019-07-03,1.32,1,171,150
35573040,Summer sublet in south slope,16354887,Sonya,Brooklyn,Sunset Park,40.66154,-73.99158,Entire home/apt,9,0,,,1,16,109
35850605,Convenient Private Master Room Prime Time Square!,2196491,Sophia,Manhattan,Theater District,40.75696,-73.98323,Private room,14,0,,,3,85,65
23287403,Room 1 - Lots of Space in Historic Victorian Home,173362161,Elizabeth,Brooklyn,Flatbush,40.64397,-73.96907,Private room,2,64,2019-07-03,3.89,6,177,68
17847040,Spacious 1bd in the heart of Midtown High Rise  !,31451454,Terry,Manhattan,Midtown,40.76352,-73.9831,Entire home/apt,2,70,2019-06-15,2.65,1,263,199
16530772,Lovely room 20 min to Times Square & Central Park,39072326,Stephanie,Manhattan,Harlem,40.80999,-73.9415,Private room,2,94,2019-06-23,3.25,1,167,80
17376723,*Rare Find* Fantastic 2 Bed Apt inTimes Square,15034908,Trendi,Manhattan,Hell's Kitchen,40.7621,-73.99354,Entire home/apt,3,84,2019-06-16,2.92,2,74,178
7087549,Riverside Park One Bedroom w/ King,10566585,Evyan,Manhattan,Upper West Side,40.7777,-73.9896,Entire home/apt,1,0,,,1,0,200
9973654,Quintessential New York Apartment,50928025,Tommy,Manhattan,Upper West Side,40.7859,-73.9779,Private room,1,1,2016-12-31,0.03,1,0,95
17730019,HALSEY HAVEN,101435219,Gretchen,Brooklyn,Bedford-Stuyvesant,40.68607,-73.92392,Entire home/apt,2,45,2019-06-24,1.65,2,270,161
564184,CLEAN PRIVATE ROOM IN CHELSEA NYC,2378357,David,Manhattan,Chelsea,40.73971,-74.00220999999999,Private room,2,42,2019-05-31,0.5,1,172,125
16026135,Discover Ridgewood/Queens,23006467,Alexandra,Queens,Glendale,40.70564,-73.89246,Private room,12,0,,,1,0,105
16394700,"Williamsburg, Private Bedroom, 2 blocks from L",71499658,Omar,Brooklyn,Williamsburg,40.71518,-73.94151,Private room,3,0,,,1,0,50
588677,Great find- 2 bedroom apartment in Williamsburg!,2407024,Michael,Brooklyn,Williamsburg,40.70989,-73.95347,Entire home/apt,30,1,2012-08-10,0.01,2,250,250
35909458,Stylish duplex in Midtown East /UN w/ terrace,269845683,Lee,Manhattan,Midtown,40.753040000000006,-73.96658000000001,Entire home/apt,3,0,,,1,148,399
30268825,Amazing Studio In Best Part of NYC,227309215,Jamie,Manhattan,Lower East Side,40.72129,-73.99271,Entire home/apt,5,1,2019-04-25,0.4,1,87,250
23377429,"Brooklyn, N.Y.  3 Bdrm House",63098538,Kristin,Brooklyn,Kensington,40.64187,-73.97376,Entire home/apt,7,0,,,1,0,175
15874245,"Spacious, Cozy Home Away From Home",48961085,Anabelle,Queens,Astoria,40.76422,-73.92491,Private room,5,7,2017-06-22,0.22,1,0,88
20804083,Sun Drenched Master Bedroom in Brooklyn Apartment,28341776,Josh,Brooklyn,Park Slope,40.68265,-73.97754,Private room,3,5,2018-07-29,0.23,2,0,120
7577608,1 Large Bedroom plus 2nd bed,1355616,Carly,Brooklyn,Boerum Hill,40.68234,-73.98088,Private room,3,0,,,1,0,100
18274232,PRIVATE BATH next to Central Park!,21380187,Mark,Manhattan,Hell's Kitchen,40.76692,-73.98548000000001,Private room,2,34,2019-06-23,1.31,1,84,179
9331036,Spacious Master BR Near BK Museum,20267329,Nika,Brooklyn,Prospect Heights,40.67263,-73.96437,Private room,2,3,2017-01-02,0.07,1,0,99
11006134,Chelsea Apt w/ Private Rooftop Deck,24625891,T,Manhattan,Chelsea,40.74815,-74.00493,Entire home/apt,3,0,,,1,0,125
14665418,Spacious light drenched 3 bedroom,22935573,Matias,Brooklyn,Williamsburg,40.71433,-73.95857,Entire home/apt,2,78,2019-06-27,2.27,1,309,295
15825854,"Beautiful & centrally located, big 1 bedroom apt.",13454974,Michelle,Manhattan,Midtown,40.74665,-73.98042,Entire home/apt,2,11,2018-12-07,0.6,1,88,175
18162965,"Large, funky Park Slope triplex w outdoor space.",98040412,Amy,Brooklyn,Park Slope,40.67259,-73.98451999999999,Entire home/apt,1,0,,,1,0,300
4644828,Hip&Central! Charming Williamsburg!,805843,Johnny,Brooklyn,Williamsburg,40.71745,-73.95961,Entire home/apt,2,5,2017-01-06,0.12,1,0,175
1313768,"Large, Quiet, Sunny 1 Bedroom Condo Williamsburg",7139147,Hank,Brooklyn,Williamsburg,40.71063,-73.96774,Entire home/apt,3,6,2018-04-21,0.08,1,12,199
26559476,Warm and Cozy Bedroom ~ 15 minutes to JFK,72746827,Jeffrey & Casandra,Queens,Bayswater,40.61036,-73.7687,Private room,1,8,2019-07-07,8.0,1,172,82
22747209,McSimon's | Cozy Private Studio | Near NYC,8113165,Cynthia And Froebel,Brooklyn,Canarsie,40.63762,-73.91004000000001,Entire home/apt,3,4,2019-01-03,0.23,2,108,95
28440536,Chelsea Cabin,20480351,David,Manhattan,Chelsea,40.7404,-73.99485,Entire home/apt,3,21,2019-06-20,2.4,1,42,200
13043208,Modern Studio in Financial District,14060030,Emily,Manhattan,Financial District,40.70527,-74.00629,Entire home/apt,1,2,2016-05-28,0.05,1,0,180
24531719,Minimalism in the heart of a great neighborhood,6525229,Josh,Manhattan,Chinatown,40.7177,-73.99246,Private room,3,1,2018-04-21,0.07,1,37,73
18310427,A huge bedroom in Harlem,63417081,Devon,Manhattan,Harlem,40.82348,-73.94581,Private room,30,5,2019-01-07,0.24,8,202,39
33226517,Spacious Room w/ oversized closet in East Harlem,39823351,Geli,Manhattan,East Harlem,40.79415,-73.94156,Private room,4,10,2019-07-03,3.53,1,24,90
17365636,"Greenpoint, Brooklyn - Spacious Private Room",3537298,Rachel,Brooklyn,Greenpoint,40.7355,-73.95676999999999,Private room,28,3,2017-05-27,0.11,1,0,75
6463098,Sweet Home at Washington high everyone is welcome,32430692,Frank,Manhattan,Washington Heights,40.84405,-73.93796,Private room,1,10,2019-07-06,8.82,1,71,50
30387916,Smart Tribeca Studio w/ Great views + Indoor pool by Blueground,107434423,Blueground,Manhattan,Tribeca,40.71674,-74.0069,Entire home/apt,30,0,,,232,208,265
19929904,Sun Drenched Apartment,71730214,Tatum,Queens,Ridgewood,40.69956,-73.89801,Entire home/apt,4,5,2018-08-29,0.21,1,0,80
21661292,Brownstone 1BR Apt in the heart of Park Slope,9678658,Emily,Brooklyn,Park Slope,40.67441,-73.97614,Entire home/apt,4,7,2018-11-25,0.36,1,0,160
5231817,UES LRG 1BR SLEEPS 4~61ST~Gr8 value,2119276,Host,Manhattan,Upper East Side,40.76201,-73.96084,Entire home/apt,30,5,2018-03-28,0.11,39,228,150
8307946,Spacious Greenwich Village 1 Bed,6502766,Katie,Manhattan,Greenwich Village,40.73637,-73.99746,Entire home/apt,2,16,2017-01-01,0.37,1,0,150
7933773,BK sunny 1 BR close to trains,41764756,Luz,Brooklyn,Prospect-Lefferts Gardens,40.65602,-73.95891,Entire home/apt,3,20,2018-09-25,0.43,1,0,130
17972466,Perfect for 2 - Heart of the Upper West Side!,33200173,Paige,Manhattan,Upper West Side,40.78549,-73.97673,Private room,3,4,2017-09-26,0.16,2,0,90
14768563,Large 1 Bedroom near Prospect Park,19918057,Sogol,Brooklyn,Prospect-Lefferts Gardens,40.66028,-73.961,Entire home/apt,2,1,2016-09-05,0.03,1,0,100
9945496,Luxury Upscale Apartment in Midtown,12574877,Leroy,Manhattan,Hell's Kitchen,40.76443,-73.98728,Entire home/apt,1,65,2019-06-19,1.56,1,186,150
21884206,WeLive Wall Street -- Studio Apartment,159610596,WeWork,Manhattan,Financial District,40.70426,-74.00711,Entire home/apt,1,152,2019-07-03,7.9,6,339,215
